stt,province,region,latitude,longitude,distance_to_hanoi_km,distance_to_hcm_km,nearest_city,nearest_distance_km
1,Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,21.0283334,105.854041,0.0,1137.8,Hà Nội,0.0
2,Vĩnh Phúc,ĐỒNG BẰNG SÔNG HỒNG,18.416893,105.695355,290.9,850.3,Hà Nội,290.9
3,Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,21.3282166,106.4625257,71.3,1168.3,Hà Nội,71.3
4,Quảng Ninh,ĐỒNG BẰNG SÔNG HỒNG,21.1718046,107.2012742,140.7,1152.3,Hà Nội,140.7
5,Hải Dương,ĐỒNG BẰNG SÔNG HỒNG,20.9602884,106.3604393,53.1,1127.6,Hà Nội,53.1
6,Hải Phòng,ĐỒNG BẰNG SÔNG HỒNG,20.8623278,106.6799266,87.7,1116.3,Hà Nội,87.7
7,Hưng Yên,ĐỒNG BẰNG SÔNG HỒNG,20.6065846,106.2843471,64.8,1088.5,Hà Nội,64.8
8,Thái Bình,ĐỒNG BẰNG SÔNG HỒNG,20.4031348,106.5941615,103.7,1065.3,Hà Nội,103.7
9,Hà Nam,ĐỒNG BẰNG SÔNG HỒNG,20.5340294,105.9810248,56.5,1082.0,Hà Nội,56.5
10,Nam Định,ĐỒNG BẰNG SÔNG HỒNG,19.9952624,106.485807,132.4,1020.0,Hà Nội,132.4
11,Ninh Bình,ĐỒNG BẰNG SÔNG HỒNG,20.2421142,105.9746207,88.3,1049.7,Hà Nội,88.3
12,Hà Giang,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,22.8168007,104.9504515,219.6,1345.5,Hà Nội,219.6
13,Cao Bằng,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,22.7426936,106.1060926,192.4,1326.6,Hà Nội,192.4
14,Bắc Kạn,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,22.2728552,105.8564601,138.4,1275.8,Hà Nội,138.4
15,Tuyên Quang,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,22.3382057,105.0715846,166.6,1291.1,Hà Nội,166.6
16,Lào Cai,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,22.3069302,104.1829592,223.7,1303.2,Hà Nội,223.7
17,Yên Bái,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,21.8091042,104.5182832,163.3,1242.1,Hà Nội,163.3
18,Thái Nguyên,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,21.9610968,105.8440789,103.7,1241.3,Hà Nội,103.7
19,Lạng Sơn,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,21.8487579,106.6140692,120.4,1226.0,Hà Nội,120.4
20,Bắc Giang,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,21.3740092,106.4663176,74.2,1173.3,Hà Nội,74.2
21,Phú Thọ,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,21.3007538,105.1349604,80.5,1175.9,Hà Nội,80.5
22,Điện Biên,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,21.6546566,103.2168632,281.9,1258.1,Hà Nội,281.9
23,Lai Châu,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,22.2921668,103.1798662,310.0,1327.0,Hà Nội,310.0
24,Sơn La,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,21.2276769,104.1575944,177.4,1186.6,Hà Nội,177.4
25,Hoà Bình,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,20.7090533,105.2576439,71.4,1109.0,Hà Nội,71.4
26,Thanh Hoá,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,19.9781573,105.4816107,123.1,1025.4,Hà Nội,123.1
27,Nghệ An,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,19.1976001,105.060676,219.8,946.3,Hà Nội,219.8
28,Hà Tĩnh,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,18.3504832,105.7623047,297.9,842.2,Hà Nội,297.9
29,Quảng Bình,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,17.5157162,106.6225405,398.8,744.2,Hà Nội,398.8
30,Quảng Trị,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,17.2166964,106.9548246,439.3,711.8,Hà Nội,439.3
31,Thừa Thiên Huế,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,16.5530473,107.6900375,533.8,647.3,Hà Nội,533.8
32,Đà Nẵng,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,16.068,108.212,605.0,607.8,Hà Nội,605.0
33,Quảng Nam,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,11.9537073,108.4306103,1045.7,233.1,TP.HCM,233.1
34,Quảng Ngãi,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,14.9953739,108.691729,734.8,514.9,TP.HCM,514.9
