name;province
Bảo tàng Quang Trung;Gia Lai
Bảo tàng Hải Phòng;TP. Hải Phòng
FLC Zoo Safari Park;Gia Lai
Quảng trường nhạc nước Quy Nhơn;Gia Lai
Công viên Đồi Dương;Lâm Đồng
Công viên Võ Văn Kiệt;Lâm Đồng
Lâu đài rượu vang;Lâm Đồng
Công viên 29 tháng 3;TP. Đà Nẵng
Công viên Biển Đông;TP. Đà Nẵng
Công viên Vườn tượng APEC;TP. Đà Nẵng
Nhà vườn Đức Đường;Hà Tĩnh
Nông trại hoa hồng;Hà Tĩnh
Rạp chiếu phim CGV Hà Tĩnh;Hà Tĩnh
Khu du lịch Epic;Quảng Ngãi
Miệt vườn Kon Tum;Quảng Ngãi
Rạp chiếu phim Cinemax;Quảng Ngãi
Bảo tàng Lâm Đồng;Lâm Đồng
Khu du lịch Thúy Thuận;Lâm Đồng
Sunny Farm;Lâm Đồng
Bảo tàng Xô Viết Nghệ Tĩnh;Nghệ An
Galaxy Cinema Vinh;Nghệ An
Lotte Cinema Vinh;Nghệ An
Công viên nước TTC Resort;Khánh Hoà
Farm Nam Hoa Viên;Khánh Hoà
Khu Du Lịch Tanyoli;Khánh Hoà
Không gian Hồn Xưa;Đắk Lắk
Phim trường Bambi;Đắk Lắk
Rạp chiếu phim CGV Vincom Phú Yên;Đắk Lắk
Công viên OZO;Quảng Trị
Đồi cát Quang Phú;Quảng Trị
Suối Nước Moọc;Quảng Trị
Công viên Quảng trường 24-3;TP. Đà Nẵng
Nhà biểu diễn nghệ thuật cổ truyền Hội An;TP. Đà Nẵng
Nhà trưng bày Mỹ Sơn;TP. Đà Nẵng
Biển Khe Hai;Quảng Ngãi
Cánh đồng muối Sa Huỳnh;Quảng Ngãi
Rạp chiếu phim CGV Vincom Quảng Ngãi;Quảng Ngãi
Không gian lưu niệm Lê Bá Đảng;TP. Huế
Nhà hát Duyệt Thị Đường;TP. Huế
Rạp chiếu phim Cinestar Huế;TP. Huế
Phố văn hóa - nghệ thuật Quy Nhơn;Gia Lai
Quảng trường Nguyễn Tất Thành;Gia Lai
Rạp phim Starlight Quy Nhơn;Gia Lai
Huyền thoại Làng chài;Lâm Đồng
