name;province;province_normalized
Sanghe condotel;TP. Đà Nẵng;TP. Đà Nẵng
khách sạn thúy phương2;Lào Cai;Lào Cai
Nhà Nghỉ Ngọc Minh;Điện Biên;Điện Biên
NHÀ NGHỈ CAO NGUYÊN;Sơn La;Sơn La
Khách sạn Khánh Đăng;Đồng Nai;Đồng Nai
Nhà nghỉ Cây Xoài;Phú Thọ;Phú Thọ
Nhà Nghỉ Mai Trang;TP. Hà Nội;TP. Hà Nội
Blossom homestay;Đắk Lắk;Đắk Lắk
Nhà nghỉ long huyền;Bắc Ninh;Bắc Ninh
Khách sạn kim thành chính;Hà Tĩnh;Hà Tĩnh
Nhà nghỉ Quốc Định;Thái Nguyên;Thái Nguyên
Nhà nghỉ Như Thủy;Tây Ninh;Tây Ninh
Nhà nghỉ Kim Phượng;Tây Ninh;Tây Ninh
Nhà Nghỉ Hiếu Yên;Quảng Ninh;Quảng Ninh
Khách sạn Hoàng Thư;TP. Hồ Chí Minh;TP. Hồ Chí Minh
Côn Đảo House;TP. Hồ Chí Minh;TP. Hồ Chí Minh
Homestay Long Chiều;Tuyên Quang;Tuyên Quang
Nhà nghỉ minh quảng;Lào Cai;Lào Cai
Sake villa;Phú Thọ;Phú Thọ
Nhà nghỉ 555;Điện Biên;Điện Biên
NHÀ NGHỈ DƯƠNG VŨ;Sơn La;Sơn La
Nhà Nghỉ 76;Ninh Bình;Ninh Bình
Nhà nghỉ Thanh Lịch;Hưng Yên;Hưng Yên
Nhà nghỉ Bạch Dương;TP. Hà Nội;TP. Hà Nội
Blue garden homestay;Ninh Bình;Ninh Bình
Khách sạn Sofia;TP. Đà Nẵng;TP. Đà Nẵng
Nhà nghỉ ngân nga;Bắc Ninh;Bắc Ninh
Khách sạn cát tường;TP. Hồ Chí Minh;TP. Hồ Chí Minh
Công ty Cổ phần quản lý khách sạn Hà Lan;TP. Hà Nội;TP. Hà Nội
Nhà nghỉ Lina;Tây Ninh;Tây Ninh
Nhà nghỉ hiền lương;Quảng Ninh;Quảng Ninh
Khách sạn Hoàng Trung;Quảng Ninh;Quảng Ninh
Khách sạn Ngọc Phượng;Quảng Ninh;Quảng Ninh
Nhà nghỉ Trung Hiền;Cao Bằng;Cao Bằng
Homestay Lý Tiên;Tuyên Quang;Tuyên Quang
Nhà nghỉ như ý;Lào Cai;Lào Cai
Lo Lo Eco House;Tuyên Quang;Tuyên Quang
Thu Hà Hotel;Quảng Ninh;Quảng Ninh
khách sạn hùng thư;TP. Đà Nẵng;TP. Đà Nẵng
nhà nghỉ công ty cổ phần sách thiết bị trường học điện biên;Điện Biên;Điện Biên
NHÀ NGHỈ PHƯƠNG VY;Sơn La;Sơn La
Nhà Nghỉ Gia Bảo;Ninh Bình;Ninh Bình
khách sạn KOVA DIAMOND;TP. Đà Nẵng;TP. Đà Nẵng
Nhà nghỉ Hoa Hằng;Phú Thọ;Phú Thọ
Nhà nghỉ Hải Anh;TP. Hà Nội;TP. Hà Nội
Bolero homestay;Ninh Bình;Ninh Bình
Sen Hidden Charm Hotel Côn Đảo;TP. Hồ Chí Minh;TP. Hồ Chí Minh
KHÁCH SẠN HERITAGE PHÚ YÊN;Đắk Lắk;Đắk Lắk
