Địa phương,Năm,Diện tích (Km2),Dân số trung bình (nghìn),Mật độ dân số (người/km2),province_normalized
An Giang,2018,3536.7,1931,546,An Giang
An Giang,2019,3536.7,1907.4,539,An Giang
An Giang,2020,3536.8,1904.5,538,An Giang
An Giang,2021,3536.8,1909.5,540,An Giang
An Giang,2022,3536.8,1905.5,539,An Giang
An Giang,2023,3536.8,1906.3,539,An Giang
An Giang,2024,3536.8,1912.6,540.8,An Giang
Bà Rịa - Vũng Tàu,2018,1981,1138.3,574.6,TP. Hồ Chí Minh
Bà Rịa - Vũng Tàu,2019,1981,1152.2,582,TP. Hồ Chí Minh
Bà Rịa - Vũng Tàu,2020,1982.6,1167.9,589,TP. Hồ Chí Minh
Bà Rịa - Vũng Tàu,2021,1982.6,1176.1,593,TP. Hồ Chí Minh
Bà Rịa - Vũng Tàu,2022,1982.6,1178.7,595,TP. Hồ Chí Minh
Bà Rịa - Vũng Tàu,2023,1982.6,1187.5,599,TP. Hồ Chí Minh
Bà Rịa - Vũng Tàu,2024,1982.6,1194.6,602.6,TP. Hồ Chí Minh
Bình Dương,2018,2694.6,2345.2,870.3,TP. Hồ Chí Minh
Bình Dương,2019,2694.6,2456.3,912,TP. Hồ Chí Minh
Bình Dương,2020,2694.6,2580.6,958,TP. Hồ Chí Minh
Bình Dương,2021,2694.6,2596.8,964,TP. Hồ Chí Minh
Bình Dương,2022,2694.6,2763.1,1025,TP. Hồ Chí Minh
Bình Dương,2023,2694.6,2823.4,1047.8,TP. Hồ Chí Minh
Bình Dương,2024,2694.6,2870.6,1065.3,TP. Hồ Chí Minh
Bình Phước,2018,6876.8,984.9,143.2,Đồng Nai
Bình Phước,2019,6876.8,997.8,145,Đồng Nai
Bình Phước,2020,6873.6,1011.1,147,Đồng Nai
Bình Phước,2021,6873.6,1024.3,149,Đồng Nai
Bình Phước,2022,6873.6,1034.7,151,Đồng Nai
Bình Phước,2023,6873.6,1045.5,152.1,Đồng Nai
Bình Phước,2024,6873.6,1062.3,154.5,Đồng Nai
Bình Thuận,2018,7943.9,1227.3,154.5,Lâm Đồng
Bình Thuận,2019,7943.9,1232.3,155,Lâm Đồng
Bình Thuận,2020,7942.5,1239.3,156,Lâm Đồng
Bình Thuận,2021,7942.6,1246.3,157,Lâm Đồng
Bình Thuận,2022,7942.6,1252.1,158,Lâm Đồng
Bình Thuận,2023,7942.6,1258.8,158.5,Lâm Đồng
Bình Thuận,2024,7942.6,1266.2,159.4,Lâm Đồng
