Năm,"Tên tỉnh, thành phố","Tổng GRDP
 (tỷ đồng)",province_normalized
2024,Thành phố Hồ Chí Minh,"1.778.000,00",TP. Hồ Chí Minh
2024,Hà Nội,"1.430.000,00",TP. Hà Nội
2024,Bình Dương,"520.205,00",TP. Hồ Chí Minh
2024,Đồng Nai,"493.819,00",Đồng Nai
2024,Hải Phòng,"445.995,00",TP. Hải Phòng
2024,Bà Rịa – Vũng Tàu,"417.306,00",TP. Hồ Chí Minh
2024,Quảng Ninh,"347.500,00",Quảng Ninh
2024,Thanh Hóa,"318.752,00",Thanh Hóa
2024,Bắc Ninh,"232.000,00",Bắc Ninh
2024,Nghệ An,"216.943,00",Nghệ An
2024,Hải Dương,"212.386,00",TP. Hải Phòng
2024,Bắc Giang,"207.000,00",Bắc Ninh
2024,Long An,"188.588,00",Tây Ninh
2024,Vĩnh Phúc,"173.140,00",Phú Thọ
2024,Thái Nguyên,"166.870,00",Thái Nguyên
2024,Hưng Yên,"159.844,00",Hưng Yên
2024,Đà Nẵng,"151.307,00",TP. Đà Nẵng
2024,Kiên Giang,"144.000,00",An Giang
2024,Đắk Lắk,"141.362,00",Đắk Lắk
2024,Tiền Giang,"137.272,00",Đồng Tháp
2024,Lâm Đồng,"134.289,00",Lâm Đồng
2024,TP. Cần Thơ,"133.064,00",TP. Cần Thơ
2024,Quảng Ngãi,"132.653,00",Quảng Ngãi
2024,Bình Định,"130.799,00",Gia Lai
2024,Quảng Nam,"129.000,00",TP. Đà Nẵng
2024,Khánh Hòa,"128.760,00",Khánh Hoà
2024,An Giang,"126.771,00",An Giang
2024,Đồng Tháp,"124.127,00",Đồng Tháp
2024,Tây Ninh,"123.878,00",Tây Ninh
2024,Bình Thuận,"121.000,00",Lâm Đồng
2024,Bình Phước,"115.357,00",Đồng Nai
2024,Nam Định,"113.329,00",Ninh Bình
2024,Hà Tĩnh,"112.855,00",Hà Tĩnh
2024,Gia Lai,"111.208,00",Gia Lai
2024,Phú Thọ,"107.300,00",Phú Thọ
2024,Ninh Bình,"98.900,00",Ninh Bình
2024,Trà Vinh,"96.623,00",Vĩnh Long
2024,Cà Mau,"87.535,00",Cà Mau
2024,Vĩnh Long,"83.668,00",Vĩnh Long
2024,Sóc Trăng,"80.147,00",TP. Cần Thơ
2024,Huế,"80.000,00",TP. Huế
2024,Lào Cai,"77.223,00",Lào Cai
2024,Sơn La,"76.626,00",Sơn La
2024,Bến Tre,"74.178,00",Vĩnh Long
2024,Hoà Bình,"72.180,00",Phú Thọ
2024,Thái Bình,"71.326,00",Hưng Yên
2024,Hậu Giang,"68.463,00",TP. Cần Thơ
2024,Bạc Liêu,"65.625,00",Cà Mau
2024,Phú Yên,"62.597,00",Đắk Lắk
2024,Quảng Bình,"60.179,00",Quảng Trị
2024,Ninh Thuận,"60.161,00",Khánh Hoà
2024,Hà Nam,"56.116,00",Ninh Bình
2024,Đắk Nông,"55.700,00",Lâm Đồng
2024,Quảng Trị,"53.508,00",Quảng Trị
2024,Tuyên Quang,"50.424,00",Tuyên Quang
2024,Lạng Sơn,"49.736,00",Lạng Sơn
2024,Yên Bái,"48.662,00",Lào Cai
2024,Kon Tum,"40.946,00",Quảng Ngãi
2024,Hà Giang,"35.822,00",Tuyên Quang
2024,Điện Biên,"31.663,00",Điện Biên
2024,Lai Châu,"31.024,00",Lai Châu
2024,Cao Bằng,"25.204,00",Cao Bằng
2024,Bắc Kạn,"18.744,00",Thái Nguyên
2023,Lai Châu,"25.403,75",Lai Châu
2023,Điện Biên,"27.733,76",Điện Biên
2023,Sơn La,"67.734,00",Sơn La
2023,Hòa Bình,"61.432,48",Phú Thọ
2023,Hà Giang,"32.440,00",Tuyên Quang
2023,Tuyên Quang,"45.723,00",Tuyên Quang
2023,Bắc Kạn,"16.422,95",Thái Nguyên
2023,Yên Bái,"43.439,06",Lào Cai
2023,Thái Nguyên,"152.583,90",Thái Nguyên
2023,Lạng Sơn,"22.683,00",Lạng Sơn
2023,Bắc Giang,"181.239,00",Bắc Ninh
2023,Quảng Ninh,"315.839,00",Quảng Ninh
2023,Hà Nội,"1.297.000,00",TP. Hà Nội
2023,Thái Bình,"123.328,00",Hưng Yên
2023,Nam Định,"103.596,32",Ninh Bình
2023,Thanh Hóa,"279.074,00",Thanh Hóa
2023,Nghệ An,"194.269,24",Nghệ An
2023,Hà Tĩnh,"99.685,63",Hà Tĩnh
2023,Quảng Bình,"55.066,48",Quảng Trị
2023,Quảng Trị,"46.443,10",Quảng Trị
2023,Thừa Thiên - Huế,"46.431,00",TP. Huế
2023,Đà Nẵng,"134.245,49",TP. Đà Nẵng
2023,Quảng Nam,"129.000,00",TP. Đà Nẵng
2023,Quảng Ngãi,"122.880,00",Quảng Ngãi
2023,Kon Tum,"34.540,00",Quảng Ngãi
2023,Bình Định,"117.642,03",Gia Lai
2023,Gia Lai,"116.200,80",Gia Lai
