province,date,year,month,temp_mean,temp_min,temp_max,temp_amplitude,temp_std,rainfall_total,rainfall_max_daily,rainfall_mean_daily,rainfall_days,latitude,longitude
An Giang,2011-01-01,2011,1,25.44193548387097,23.4,27.1,3.700000000000003,0.9687704212207637,21.5,13.2,0.6935483870967742,8,10.3188672,105.0432488
An Giang,2011-02-01,2011,2,26.939285714285713,25.6,28.1,2.5,0.771885275353065,2.2,0.9,0.07857142857142858,4,10.3188672,105.0432488
An Giang,2011-03-01,2011,3,26.674193548387095,24.5,28.2,3.6999999999999993,0.9906118452537246,166.1,22.2,5.358064516129032,23,10.3188672,105.0432488
An Giang,2011-04-01,2011,4,27.276666666666664,25.4,28.6,3.200000000000003,0.6489691206368994,124.6,25.7,4.153333333333333,24,10.3188672,105.0432488
An Giang,2011-05-01,2011,5,27.493548387096773,26.4,28.8,2.400000000000002,0.5644675862385544,184.1,14.7,5.938709677419355,31,10.3188672,105.0432488
An Giang,2011-06-01,2011,6,27.05,25.5,28.1,2.6000000000000014,0.6246378260985342,205.0,24.0,6.833333333333333,30,10.3188672,105.0432488
An Giang,2011-07-01,2011,7,26.938709677419357,25.2,28.4,3.1999999999999993,0.8317361037231455,182.5,17.9,5.887096774193548,31,10.3188672,105.0432488
An Giang,2011-08-01,2011,8,27.07741935483871,24.9,28.2,3.3000000000000007,0.8044499890895885,213.29999999999998,38.4,6.880645161290322,30,10.3188672,105.0432488
An Giang,2011-09-01,2011,9,26.436666666666667,24.7,28.0,3.3000000000000007,0.9301402687445757,361.8,50.3,12.06,30,10.3188672,105.0432488
An Giang,2011-10-01,2011,10,26.719354838709677,25.8,27.5,1.6999999999999993,0.48950271013121804,194.7,19.1,6.280645161290322,29,10.3188672,105.0432488
An Giang,2011-11-01,2011,11,26.78666666666667,25.4,28.0,2.6000000000000014,0.6078414796374265,135.9,26.1,4.53,24,10.3188672,105.0432488
An Giang,2011-12-01,2011,12,25.91290322580645,24.2,27.2,3.0,0.9597714781772702,31.8,11.5,1.0258064516129033,12,10.3188672,105.0432488
An Giang,2012-01-01,2012,1,26.238709677419354,25.3,27.6,2.3000000000000007,0.6731406090631387,84.8,12.6,2.735483870967742,23,10.3188672,105.0432488
