province,views,likes,comments,province_normalized
Đắk Lắk,10594935,74210,3384,Đắk Lắk
Ninh Bình,9260068,102639,9318,Ninh Bình
Tây Ninh,6392797,78477,3411,Tây Ninh
Quảng Trị,6087005,64179,4734,Quảng Trị
Vĩnh Long,5728010,52397,3339,Vĩnh Long
Lạng Sơn,5727749,41955,1415,Lạng Sơn
Cần Thơ,5695286,50835,3859,TP. Cần Thơ
TP. Hồ Chí Minh,5197356,58091,4517,TP. Hồ Chí Minh
Tuyên Quang,4812522,73133,4639,Tuyên Quang
Đà Nẵng,4186548,15581,320,TP. Đà Nẵng
Cà Mau,3240336,35969,2571,Cà Mau
Đồng Tháp,3088220,18106,1030,Đồng Tháp
An Giang,2992780,27878,1188,An Giang
Lâm Đồng,2701506,26378,1397,Lâm Đồng
Khánh Hoà,2688344,29699,1504,Khánh Hoà
Hưng Yên,2584075,17412,1009,Hưng Yên
Đồng Nai,2323974,19001,642,Đồng Nai
Gia Lai,2226559,20004,1106,Gia Lai
Hải Phòng,2180881,23106,3205,TP. Hải Phòng
Lào Cai,1940918,32090,1025,Lào Cai
Bà Rịa - Vũng Tàu,1649517,5166,337,TP. Hồ Chí Minh
Quảng Ngãi,1611322,5752,572,Quảng Ngãi
Nghệ An,1330383,21452,971,Nghệ An
Sơn La,1100969,12689,263,Sơn La
Bắc Ninh,1090209,6828,665,Bắc Ninh
Thanh Hóa,996538,8874,576,Thanh Hóa
Hà Tĩnh,947575,15200,428,Hà Tĩnh
Phú Thọ,843587,10111,470,Phú Thọ
Hòa Bình,757877,10158,331,Phú Thọ
Hà Nội,750833,9428,464,TP. Hà Nội
Thừa Thiên Huế,747999,4425,49,TP. Huế
Điện Biên,543788,4808,406,Điện Biên
Thái Nguyên,375806,4203,510,Thái Nguyên
Quảng Ninh,210441,1434,316,Quảng Ninh
Cao Bằng,68166,720,172,Cao Bằng
Lai Châu,12548,136,2,Lai Châu
