name;province
Hạ Long Pearl farm;Quảng Ninh
Hạ Long Pearl farm II;Quảng Ninh
Legend Pearl;Quảng Ninh
Trung tâm Mỹ Ngọc;Quảng Ninh
Trung tâm thương mại Vincom Plaza Hạ  Long;Quảng Ninh
Việt Thành;Quảng Ninh
Trung tâm Thương mại Vincom Plaza  Móng Cái;Quảng Ninh
Việt Hưng;Quảng Ninh
Hải Dương Xanh;Quảng Ninh
Việt Nhã;Quảng Ninh
Trung tâm Thương mại Vincom + Uông Bí;Quảng Ninh
Trung tâm Thương mại Vincom Plaza Cẩm  Phả;Quảng Ninh
Sao Việt;Quảng Ninh
Siêu thị Coopmart Hải Phòng;TP. Hải Phòng
Nem Lái Thiêu;TP. Hồ Chí Minh
Made4Home Center Garden;TP. Hồ Chí Minh
Trung tâm mua sắm Nguyễn Kim;Đồng Nai
Nhà Sách Siêu Thị Giá Sỉ;Đồng Nai
MM Mega Market Biên Hòa;Đồng Nai
Chợ An Bình;TP. Cần Thơ
Chợ Tân An;TP. Cần Thơ
Chợ An Lạc;TP. Cần Thơ
Công ty TNHH MTV Thương mại Dịch vụ Diệp Bảo An;Đắk Lắk
Công ty TNHH sản xuất chế biên & thương mại Hà Trung;Đắk Lắk
DNTN Thủy sản Hùng Phong;Đắk Lắk
Siêu thị Coop Mart Cần Giuộc;Tây Ninh
Siêu thị Coop Mart Bến Lức;Tây Ninh
Cửa hàng đặc sản Long An;Tây Ninh
Cơ sở sản xuất bánh tráng trộn Cô Út Long An;Tây Ninh
Siêu thị Đặc Sản Nghệ Tĩnh;Nghệ An
Cửa hàng Đặc Sản Xứ Nghệ Thúy Liễu;Nghệ An
Chợ Bến Thủy;Nghệ An
Cửa hàng HATIMARRT;Hà Tĩnh
Chợ mới thị xã Hồng Lĩnh;Hà Tĩnh
Cơ sở sản xuất kẹo Cu Đơ Phong Nga;Hà Tĩnh
Chợ Sa Nam;Nghệ An
Khoai deo Hải Ninh;Quảng Trị
Siêu thị Thế Anh;Quảng Trị
Công ty TNHH Biển Hạnh Phúc;Quảng Trị
Chợ Ba Đồn - Chợ trung tâm phía Bắc;Quảng Trị
Trúc Chỉ Garden;TP. Huế
Marie's - Cỏ Bàng Xứ Huế;TP. Huế
Trà Đình Viên;TP. Huế
Chợ An Cựu;TP. Huế
Danang Souvenirs & Cafe;TP. Đà Nẵng
Siêu Thị Joly Mart Đà Nẵng;TP. Đà Nẵng
Siêu thị Danavi Mart;TP. Đà Nẵng
Siêu thị Big C Huế;TP. Huế
Vườn sim Bảy Gáo;An Giang
Ngọc trai Robinson Phú Quốc;An Giang
The Storytree Vietnam;An Giang
Lotus Jewellery;TP. Đà Nẵng
Trung tâm thương mại Thi Phổ Center;Quảng Ngãi
Đặc sản hải sản Lý Sơn Quảng Ngãi (Công ty TNHH MTV HT Sea Tour);Quảng Ngãi
Siêu thị đặc sản Lý Sơn Xanh;Quảng Ngãi
Mộc Kim Bồng;TP. Đà Nẵng
Cửa hàng hải sản khô Mận Khoa;Gia Lai
Đặc sản Bình Định Như Ý;Gia Lai
Siêu thị đặc sản Phương Nghi;Gia Lai
Cơ sở bánh gai, bánh gấc Tuyết Nga;TP. Hải Phòng
Khu mua sắm Hoàng Gia;Cà Mau
Khu thương mại Cửu Long Plaza Cà Mau;Cà Mau
Khu kinh tế đêm Phú Thiên Kim;Đồng Nai
Siêu thị chợ đêm Phước Bình;Đồng Nai
Siêu Thị Vinatex Bình Phước;Đồng Nai
Chợ Đêm Cà Mau;Cà Mau
Siêu thị Vincom+Phan Rang;Khánh Hoà
Chợ đêm Ninh Thuận;Khánh Hoà
Cửa hàng nho, táo Thái Thuận;Khánh Hoà
Cơ sở sản xuất nước mắm Quang Minh;Khánh Hoà
Cửa hàng rượu nho nguyên chất Pha Lê;Khánh Hoà
Cửa hàng nông sản xanh Thảo Trang;Khánh Hoà
Siêu thị Co.opMart Thanh Hà;Khánh Hoà
Cửa hàng vang nho Viết Nghi;Khánh Hoà
Trạm dừng chân Thiên Thảo;Khánh Hoà
Chợ Phan Rang;Khánh Hoà
Chợ Đầm Nại;Khánh Hoà
Siêu thị Lotte Mart Phan Thiết;Lâm Đồng
Doanh nghiệp Tư nhân Ngọc Trai Phan Thiết (Long Beach Pearl);Lâm Đồng
Siêu thị Co.opmart Phan Thiết;Lâm Đồng
Công ty cổ phần nước mắm Phan Thiết PTFISACO;Lâm Đồng
Cơ sở mua sắm FM Style Phan Thiết;Lâm Đồng
Cơ sở sản xuất Nước Mắm Hải Thắng;Lâm Đồng
Siêu thị GO! Đà Lạt;Lâm Đồng
Chợ Âm Phủ;Lâm Đồng
Siêu thị L'angfarm Store;Lâm Đồng
Tranh thêu tay Hữu Hạnh;Lâm Đồng
Chợ Đà Lạt;Lâm Đồng
Cửa hàng Đồ thêu XQ Đà Lạt Sử Quán;Lâm Đồng
Siêu thị Co.opMart Bảo Lộc;Lâm Đồng
Trung tâm thương mại Vincom Plaza Kon Tum;Quảng Ngãi
Landmark 72;TP. Hà Nội
Chợ đêm Đồng Xuân;TP. Hà Nội
Chợ đêm phố cổ Hà Nội;TP. Hà Nội
Trung tâm thương mại Soiva Vĩnh Phúc;Phú Thọ
Ivy Moda Vĩnh Phúc;Phú Thọ
Siêu thị điện máy HC Vĩnh Phúc;Phú Thọ
Siêu thị MediaMart Vĩnh Phúc;Phú Thọ
Trung tâm thương mại tổng hợp tranh đá quý Dũng Tân;Thái Nguyên
Tương nếp Úc Kỳ;Thái Nguyên
Rượu Hồ Lan;Thái Nguyên
Trái cây nhập khẩu EUS FRUIT;Hưng Yên
Siêu thị hàng tiêu dùng Nhật Minh;Hưng Yên
Siêu thị DOFA;Hưng Yên
Siêu thị đặc sản Hòa Yên;Đắk Lắk
Cửa hàng Yến Sào A Đồng;Đắk Lắk
Chợ Tuy Hòa;Đắk Lắk
Trung tâm thương mại Vincom Phú Yên;Đắk Lắk
Siêu thị Co.opMart Tuy Hoà;Đắk Lắk
Chợ hải sản Cô Giang;TP. Hồ Chí Minh
Vựa hải sản Thành Phát;TP. Hồ Chí Minh
Ốc Tự Nhiên;TP. Hồ Chí Minh
Chợ mới;TP. Hồ Chí Minh
Sơn mài mỹ nghệ Thùy Dương;TP. Hồ Chí Minh
Chợ Bến Đá;TP. Hồ Chí Minh
Siêu thị Coop Mart Vũng Tàu;TP. Hồ Chí Minh
Chợ Bến Đình;TP. Hồ Chí Minh
Cửa hàng Yến sào Hoàng Hạc;TP. Hồ Chí Minh
Trung tâm thương mại Lapen Center;TP. Hồ Chí Minh
Trung tâm thương mại KNG Mall;TP. Hồ Chí Minh
Siêu thị Lotte Mart Vũng Tàu;TP. Hồ Chí Minh
TTTM Lam Sơn Square;TP. Hồ Chí Minh
Chợ Xóm Lưới;TP. Hồ Chí Minh
Siêu thị Co.op Mart Bà Rịa;TP. Hồ Chí Minh
Chợ đêm Vũng Tàu;TP. Hồ Chí Minh
Chợ Côn Đảo;TP. Hồ Chí Minh
Chợ Quán Thành;Bắc Ninh
Cửa hàng mỳ chũ Nam Oanh;Bắc Ninh
Cửa hàng tranh đá quý Phương Ngọc;Bắc Ninh
Công ty TNHH Thương mại Công nghệ Vạn Đức;Bắc Ninh
Siêu thị Co.op Mart Bạc Liêu;Cà Mau
Siêu thị TMart Bắc Giang;Bắc Ninh
Trung tâm thương mại TNL Plaza Bắc Giang;Bắc Ninh
Chợ đêm Bạc Liêu;Cà Mau
Trung tâm thương mại Vincom Plaza Trần Phú;Cà Mau
Cửa hàng Bánh Gia Bảo;Cà Mau
Hiệu sách Nhân Dân;Bắc Ninh
Chợ Bạc Liêu;Cà Mau
Chợ Hà Vị;Bắc Ninh
Chợ Thương;Bắc Ninh
Trung tâm thương mại The Imperial;TP. Hồ Chí Minh
Cơ Sở Sản Xuất Bánh Thái Can;Cà Mau
Trung tâm thương mại Hapro Bắc Giang;Bắc Ninh
Siêu thị Big C Bắc Giang;Bắc Ninh
Trung tâm thương mại Golden Mall Hiệp Hòa;Bắc Ninh
Trung tâm thương mại Vincom Plaza Bắc Kạn;Thái Nguyên
Cửa hàng đặc sản Trung Dũng;Thái Nguyên
Chợ phiên vùng cao Bắc Kạn;Thái Nguyên
Chợ Đức Xuân;Thái Nguyên
Trung tâm thương mại Lan Kim;Thái Nguyên
Chợ Bắc Kạn;Thái Nguyên
Siêu thị BK Mart;Thái Nguyên
Siêu thị MM Mega Market Binh Duong;TP. Hồ Chí Minh
Trung tâm thương mại Big C Bình Dương;TP. Hồ Chí Minh
Trung tâm thương mại Minh Sáng Plaza;TP. Hồ Chí Minh
Cửa hàng hạt điều Bà Tám;TP. Hồ Chí Minh
Siêu thị LOTTE Mart Bình Dương;TP. Hồ Chí Minh
Siêu thị Vinatex Thuận An;TP. Hồ Chí Minh
Chợ đêm – phố đi bộ Bạch Đằng;TP. Hồ Chí Minh
Siêu thị Co.op Mart Bình Dương 2;TP. Hồ Chí Minh
Trung tâm mua sắm AEON Bình Dương Canary;TP. Hồ Chí Minh
Trung tâm thương mại Becamex;TP. Hồ Chí Minh
Chợ Thủ Dầu Một;TP. Hồ Chí Minh
Nhà máy sản xuất Kẹo dừa Bến Tre Đông Á;Vĩnh Long
Trung tâm thương mại Sense City Bến Tre;Vĩnh Long
Cơ sở dầu dừa Ngọc Thư - Escovietnam;Vĩnh Long
