"Tỉnh, thành phố",Tổng số 2018,Tổng số 2019,Tổng số 2020,Tổng số 2021,Tổng số 2022,Tổng số 2023,Tổng số Sơ bộ 2024,Nam 2018,Nam 2019,Nam 2020,Nam 2021,Nam 2022,Nam 2023,Nam Sơ bộ 2024,Nữ 2018,Nữ 2019,Nữ 2020,Nữ 2021,Nữ 2022,Nữ 2023,Nữ Sơ bộ 2024,Thành thị 2018,Thành thị 2019,Thành thị 2020,Thành thị 2021,Thành thị 2022,Thành thị 2023,Thành thị Sơ bộ 2024,Nông thôn 2018,Nông thôn 2019,Nông thôn 2020,Nông thôn 2021,Nông thôn 2022,Nông thôn 2023,Nông thôn Sơ bộ 2024
Đồng bằng sông Hồng,"22290,7","22620,2","22920,18","23223,1","23454,28","23732,41","24015,98","11036,4","11214,5","11358,58","11516,4","11623,85","11778,69","11926,36","11254,4","11405,7","11561,6","11706,62","11830,44","11953,73","12089,63","7773,5","8130,3","8537,08","8722,9","8830,36","9204,31","9373,82","14517,3","14489,9","14383,1","14500,07","14623,93","14528,1",14642.17
Hà Nội,"7914,5","8093,9","8246,54","8330,8","8435,65","8587,08","8717,63","3920,3","4012,7","4083,48","4132,01","4167,29","4264,17","4336,19","3994,2","4081,2","4163,06","4198,83","4268,36","4322,91","4381,44","3904,8","4000,3","4061,06","4095,37","4138,51","4212,99","4280,83","4009,6","4093,6","4185,48","4235,47","4297,15","4374,09",4436.79
Vĩnh Phúc,"1138,4","1154,8","1171,23","1191,8","1197,62","1211,35","1225,29","563,7","575,5","583,72","593,96","598,03","604,74","611,74","574,6","579,4","587,51","597,82","599,59","606,6","613,55","285,2","295,2","350,98","358,33","366,18",411,"416,63","853,2","859,6","820,25","833,4","831,44","800,35",808.67
Bắc Ninh,"1337,3","1378,6","1419,13","1462,9","1488,25","1517,44","1546,59","657,8",681,"699,01","725,24","732,05","744,93","759,38","679,6","697,6","720,12","737,71","756,21","772,51","787,22","365,6","380,9","446,57","536,15","554,57","770,71","787,92","971,7","997,7","972,56","926,8","933,68","746,73",758.67
Quảng Ninh,"1303,9","1324,8","1337,61","1350,8","1362,88","1381,17","1396,52","663,4","673,8","679,58","681,71","690,37","698,59","705,51","640,6","651,1","658,03","669,15","672,51","682,58","691,01","822,1","853,7","901,11","909,89","917,98","930,42","968,26","481,8","471,2","436,5","440,96","444,9","450,74",428.27
Hải Dương,"1877,7","1896,9","1916,77","1936,8","1946,82","1956,89","1978,23","931,7","942,7","956,47","966,4","975,5","980,65","991,09",946,"954,2","960,3","970,32","971,32","976,24","987,14","463,4","594,2","603,24","613,18","618,12","620,02","630,52","1414,3","1302,7","1313,54","1323,6","1328,71","1336,87",1347.71
Hải Phòng,"2016,4","2033,3","2053,49","2072,4","2088,02","2105,03","2124,52","1001,6","1010,2","1015,65","1024,99","1035,33","1043,86","1053,59","1014,8","1023,1","1037,84","1047,39","1052,69","1061,16","1070,93","920,3","926,9","932,55","943,2","951,77","960,64","970,27","1096,2","1106,4","1120,95","1129,19","1136,25","1144,39",1154.25
Hưng Yên,"1242,4","1255,8","1269,09","1284,6","1290,85","1301,01","1318,06","620,6","628,7","636,39","644,15","648,23","653,44","662,04","621,8","627,1","632,7","640,41","642,62","647,58","656,02","151,5","207,3","209,73","213,57","217,43","220,98","225,2","1090,9","1048,5","1059,36","1070,99","1073,42","1080,03",1092.86
Thái Bình,"1854,1","1862,2","1870,24","1873,9","1878,54","1882,34","1890,38","901,8","906,4","911,4","914,35","917,06","918,96","923,17","952,4","955,7","958,84","959,54","961,47","963,38","967,21","194,5",197,"219,46","220,23","220,96","221,74","224,51","1659,6","1665,2","1650,78","1653,66","1657,58","1660,6",1665.86
Hà Nam,"847,1","854,5","861,83","875,2","878,05","885,91","894,22","416,7","420,6","424,65","431,41","434,81","436,69","440,81","430,4","433,8","437,19","443,8","443,24","449,22","453,41","140,8","143,3","239,68","244,91","245,96","249,82","257,04","706,4","711,2","622,15","630,31","632,1","636,09",637.17
Nam Định,"1784,2","1780,9","1780,33","1836,3","1876,85","1887,1","1894,2","873,5","872,5","872,24","899,37","919,51","924,62","928,16","910,7","908,4","908,09","936,89","957,35","962,48","966,05","324,1","323,7","360,12","371,57","380,46","385,41","387,97","1460,2","1457,1","1420,21","1464,7","1496,39","1501,69",1506.24
Ninh Bình,"974,7","984,5","993,92","1007,6","1010,75","1017,1","1030,34","485,3","490,4","495,99","502,81","505,67","508,04","514,68","489,3","494,1","497,93","504,76","505,08","509,06","515,66","201,2","207,8","212,59","216,52","218,43","220,58","224,66","773,4","776,7","781,33",791,"792,32","796,53",805.68
Trung du và miền núi phía Bắc,"12404,9","12569,3","12725,78","12925,03","13023,19","13162,45","13338,95",6227,"6315,3","6396,62","6493,98","6558,31","6628,78","6713,93","6177,9",6254,"6329,16","6431,09","6464,88","6533,67","6625,02","2233,6","2284,3","2597,83","2646,91","2819,74","2885,26","3065,6","10171,3",10285,"10127,95","10278,16","10203,45","10277,19",10273.35
Hà Giang,"846,5","858,1","870,24","887,09","892,72","899,9","911,35","427,2","433,6","439,65","448,48","453,17","457,11","461,95","419,4","424,5","430,59","438,6","439,55","442,79","449,4","127,6","137,2","137,89","140,33","142,35","145,08","148,64","718,9","720,9","732,35","746,76","750,38","754,82",762.71
Cao Bằng,"528,7","530,9","533,09","542,22","543,05","547,86","558,46","264,6","265,9","267,01","271,59","272,83","275,51","280,2","264,1","264,9","266,07","270,63","270,22","272,35","278,26","119,9","124,5","136,01","138,18","138,47","139,53","142,2","408,8","406,3","397,07","404,04","404,59","408,32",416.26
