Destination,Peak_Months,Strong_Months (>=1.2x),Primary_Peak_Month,Amplitude (Median Peak/Trough),CV (std/median of months),Coverage OK Months,Có mùa vụ?,Peak_Months_List,Num_Strong_Months,Seasonal_Months_Clustered
Chùa Phật Tích,"1,2,3,11","Th2 (7.6x), Th1 (2.1x), Th3 (1.5x), Th11 (1.5x)",2,16.55172413793104,2.0449773833909446,12,Có,"[1, 2, 3, 11]",4,"1–3, 11"
Chùa Hương Tích,"1,2,3","Th2 (6.9x), Th3 (2.8x), Th1 (2.1x)",2,16.25,2.032043781213058,12,Có,"[1, 2, 3]",3,1–3
Khởi nghĩa Yên Thế,"2,3,4,5,6","Th3 (5.2x), Th4 (4.9x), Th5 (3.1x), Th6 (1.5x)",3,13.463703703703706,2.0588690434420363,12,Có,"[2, 3, 4, 5, 6]",5,2–6
Hội Lim,"1,2,3,11,12","Th2 (6.1x), Th1 (2.2x), Th3 (1.8x), Th12 (1.5x)",2,11.200000000000001,1.4518557385770692,12,Có,"[1, 2, 3, 11, 12]",5,"1–3, 11–12"
Đền Mẫu,"1,2,3","Th2 (6.0x), Th1 (1.8x), Th3 (1.8x)",2,10.6875,1.5898537855208243,12,Có,"[1, 2, 3]",3,1–3
Đèo Ngang,"1,9,10,11,12","Th10 (6.1x), Th12 (3.8x), Th11 (3.6x), Th9 (1.8x)",10,10.166666666666664,1.7153411052771121,12,Có,"[1, 9, 10, 11, 12]",5,"1, 9–12"
Công viên Hồ Tây,"4,5,6,7,8,9","Th6 (3.2x), Th7 (2.3x), Th5 (2.0x), Th4 (1.5x)",6,10.021052631578948,0.9459630546588762,12,Có,"[4, 5, 6, 7, 8, 9]",6,4–9
Chùa Keo,"1,2,10,11","Th2 (3.7x), Th10 (2.0x), Th1 (1.8x), Th11 (1.3x)",2,8.157894736842106,0.9602349834904279,12,Có,"[1, 2, 10, 11]",4,"1–2, 10–11"
Chùa Dâu,"1,2,3","Th2 (4.8x), Th1 (1.9x), Th3 (1.3x)",2,7.68,1.259291250534376,12,Có,"[1, 2, 3]",3,1–3
Chùa Cao Linh,"1,2,3","Th2 (4.2x), Th3 (2.2x), Th1 (1.5x)",2,7.640383198231393,1.1083034168964414,12,Có,"[1, 2, 3]",3,1–3
đền Hùng,"1,2,3,4,12","Th4 (2.8x), Th2 (2.2x), Th3 (2.1x), Th1 (1.6x)",4,7.624999999999999,0.7936787402065086,12,Có,"[1, 2, 3, 4, 12]",5,"1–4, 12"
Biển Đại Lãnh,"9,10,11,12","Th10 (2.6x), Th12 (1.9x), Th11 (1.6x), Th9 (1.2x)",10,6.933620689655172,0.5875698837002232,12,Có,"[9, 10, 11, 12]",4,9–12
Bảo tàng Lịch sử Quân sự,"1,10,11,12","Th1 (3.1x), Th11 (3.0x), Th10 (2.1x), Th12 (1.7x)",1,6.494766505636069,1.0269337556761937,11,Có,"[1, 10, 11, 12]",4,"1, 10–12"
Chùa Bút Tháp,"2,3","Th2 (2.9x), Th3 (1.3x)",2,6.3725490196078445,0.6427393668562027,11,Có,"[2, 3]",2,2–3
