province,views,likes,comments
Đắk Lắk,10594935,74210,3384
Ninh Bình,9260068,102639,9318
Tây Ninh,6392797,78477,3411
Quảng Trị,6087005,64179,4734
Vĩnh Long,5728010,52397,3339
Lạng Sơn,5727749,41955,1415
Cần Thơ,5695286,50835,3859
TP. Hồ Chí Minh,5197356,58091,4517
Tuyên Quang,4812522,73133,4639
Đà Nẵng,4186548,15581,320
Cà Mau,3240336,35969,2571
Đồng Tháp,3088220,18106,1030
An Giang,2992780,27878,1188
Lâm Đồng,2701506,26378,1397
Khánh Hoà,2688344,29699,1504
Hưng Yên,2584075,17412,1009
Đồng Nai,2323974,19001,642
Gia Lai,2226559,20004,1106
Hải Phòng,2180881,23106,3205
Lào Cai,1940918,32090,1025
Bà Rịa - Vũng Tàu,1649517,5166,337
Quảng Ngãi,1611322,5752,572
Nghệ An,1330383,21452,971
Sơn La,1100969,12689,263
Bắc Ninh,1090209,6828,665
Thanh Hóa,996538,8874,576
Hà Tĩnh,947575,15200,428
Phú Thọ,843587,10111,470
Hòa Bình,757877,10158,331
Hà Nội,750833,9428,464
Thừa Thiên Huế,747999,4425,49
Điện Biên,543788,4808,406
Thái Nguyên,375806,4203,510
Quảng Ninh,210441,1434,316
Cao Bằng,68166,720,172
Lai Châu,12548,136,2
