province,region,hashtag_query,video_id,title,channel_title,published_at,views,likes,comments,url
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,tQmIozp0D5g,"Dự báo thời tiết Hà Nội hôm nay 17/12 | Hà Nội sáng có mưa nhỏ rải rác, trời rét, trưa hửng nắng",HTV - Đài Hà Nội,2025-12-16T23:30:21Z,1407,17,0,https://www.youtube.com/watch?v=tQmIozp0D5g
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,CSolf4tKhKY,"Dự báo thời tiết Hà Nội đêm nay, ngày mai 17/12 | Hà Nội đêm lạnh sâu, ngày nắng ấm",HTV - Đài Hà Nội,2025-12-16T13:42:17Z,6491,37,0,https://www.youtube.com/watch?v=CSolf4tKhKY
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,3Eb3PnIdUKo,Hà Nội bắt đầu mở bán hàng trăm nhà ở xã hội với mức giá thấp đến ngỡ ngàng,Thể Thao Văn Hóa,2025-12-17T03:32:29Z,49,1,1,https://www.youtube.com/watch?v=3Eb3PnIdUKo
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,bPsZk4guaJI,"Bức xúc vụ tài xế xe buýt ở Hà Nội bị nhóm người đánh dã man ngay trên xe, công an vào cuộc khẩn",Tạp chí VietTimes,2025-12-16T07:38:24Z,1892,10,0,https://www.youtube.com/watch?v=bPsZk4guaJI
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,z-aBp_Gw_HY,Vụ tài xế xe buýt bị hành hung ở Hà Nội: Tiết lộ lời đe dọa lạnh người của kẻ côn đồ,Báo Sức khỏe & Đời sống,2025-12-16T22:01:08Z,7320,25,0,https://www.youtube.com/watch?v=z-aBp_Gw_HY
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,uMHekjJTcaQ,"""Rước nàng về rinh"" - Iphone 17pro max... Cảm ơn chị Mạnh Thường Quân",Minh Hà Nội,2025-12-16T10:49:04Z,15303,2024,137,https://www.youtube.com/watch?v=uMHekjJTcaQ
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,nXjKuPuTbp8,"Hà Nội “bấm nút” 2 siêu dự án triệu tỷ: lớn nhất đất nước , ngỡ ngàng về kế hoạch",Thể Thao Văn Hóa,2025-12-14T08:21:08Z,65824,1739,2,https://www.youtube.com/watch?v=nXjKuPuTbp8
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,WHQFnE6J5_g,"Công an Hà Nội kiểm tra, xử lý xe khách vi phạm trước Tết dương lịch | Báo Đại Đoàn Kết",Đại Đoàn Kết TV,2025-12-17T02:30:51Z,426,2,0,https://www.youtube.com/watch?v=WHQFnE6J5_g
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,yjeVZ7x12qs,Hà Nội: Công bố đường dây nóng tiếp nhận phản ánh vận tải Tết 2026,Báo An ninh Thủ đô,2025-12-17T03:26:26Z,324,1,0,https://www.youtube.com/watch?v=yjeVZ7x12qs
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,YoPOcmZK0zw,Thủ tướng Phạm Minh Chính: Định hướng quy hoạch Hà Nội với tầm nhìn trăm năm | Báo Đại Đoàn Kết,Đại Đoàn Kết TV,2025-12-16T10:00:55Z,7631,33,0,https://www.youtube.com/watch?v=YoPOcmZK0zw
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,UvaE52ljacc,"Tài xế 'đầu trần' lái xe biển xanh giữa phố Hà Nội, cảnh sát tìm ra cơ quan sở hữu",Báo Tuổi Trẻ,2025-12-16T10:30:32Z,7306,66,0,https://www.youtube.com/watch?v=UvaE52ljacc
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,NSA4d-9_k6k,"Choáng với hình hài rộng thênh thang của đường ""đắt nhất hành tinh"" ở Hà Nội sau giải tỏa ""thần tốc""",VTC NEWS,2025-12-15T13:30:32Z,51817,242,4,https://www.youtube.com/watch?v=NSA4d-9_k6k
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,KrjPaGODxT8,2 siêu dự án hàng triệu tỷ của Hà Nội khiến người dân chờ đợi sự phát triển,Báo Pháp luật Việt Nam,2025-12-14T08:24:03Z,5365,349,1,https://www.youtube.com/watch?v=KrjPaGODxT8
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,1LOJ9JWWpHE,Trả lại tiền cho Moom? Iphone 17 promax sắp về - Cậy khế lại đánh đu...,Minh Hà Nội,2025-12-16T04:19:24Z,11610,1660,204,https://www.youtube.com/watch?v=1LOJ9JWWpHE
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,fbgvzNFecOU,"Thời sự Hà Nội tối 16/12/2025: Khởi công và khánh thành các công trình trị giá 3,4 triệu tỷ đồng,...",HTV - Đài Hà Nội,2025-12-16T13:31:10Z,3910,22,0,https://www.youtube.com/watch?v=fbgvzNFecOU
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,VDctUL1GLkI,Dự báo thời tiết ngày mai 17/12: Hà Nội mưa nhỏ và TP. HCM có mưa diện rộng | BXD,Báo Xây dựng,2025-12-16T13:00:07Z,1780,7,0,https://www.youtube.com/watch?v=VDctUL1GLkI
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,WXdukCR_enw,"Hà Nội: Nhóm thanh niên hành hung tài xế xe buýt đến mức nhập viện, công an xác minh khẩn",Báo Tiền Phong News,2025-12-16T09:03:00Z,3182,12,0,https://www.youtube.com/watch?v=WXdukCR_enw
