name;province
Công viên Văn Miếu;Thành phố Cao Lãnh
Cà phê Đại Lộc;Thành phố Long Xuyên
Bảo tàng Quang Trung;Gia Lai
Bảo tàng Hải Phòng;Thành phố Hải Phòng
FLC Zoo Safari Park;Gia Lai
Quảng trường nhạc nước Quy Nhơn;Gia Lai
Công viên Đồi Dương;Bình Thuận
Công viên Võ Văn Kiệt;Bình Thuận
Lâu đài rượu vang;Bình Thuận
Cà phê Đồng Quê;Thành phố Long Xuyên
Công viên 29 tháng 3;Thành phố Đà Nẵng
Công viên Biển Đông;Thành phố Đà Nẵng
Công viên Vườn tượng APEC;Thành phố Đà Nẵng
Đường sách cà phê Buôn Ma Thuột;Đắc Lắk
Khu du lịch Suối Ong;Đắc Lắk
Quảng trường 10-3;Đắc Lắk
Hồ Ea Snô;Đắc Nông
Khu du lịch hồ Doãn Văn;Đắc Nông
Suối khoáng nóng Đak Mol;Đắc Nông
Khu du lịch sinh thái Xuân Thủy;Thành phố Pleiku
Quảng trường Đại Đoàn Kết;Thành phố Pleiku
Starlight Cinema;Thành phố Pleiku
Nhà vườn Đức Đường;Hà Tĩnh
Nông trại hoa hồng;Hà Tĩnh
Rạp chiếu phim CGV Hà Tĩnh;Hà Tĩnh
Lotte Cinema Nha Trang;Khánh Hoà
Vinpearl Land Nha Trang;Khánh Hoà
Wonder Park Nha Trang;Khánh Hoà
Khu du lịch Epic;Kon Tum
Miệt vườn Kon Tum;Kon Tum
Rạp chiếu phim Cinemax;Kon Tum
Bảo tàng Lâm Đồng;Lâm Đồng
Khu du lịch Thúy Thuận;Lâm Đồng
Sunny Farm;Lâm Đồng
Bảo tàng Xô Viết Nghệ Tĩnh;Nghệ An
Galaxy Cinema Vinh;Nghệ An
Lotte Cinema Vinh;Nghệ An
Công viên nước TTC Resort;Ninh Thuận
Farm Nam Hoa Viên;Ninh Thuận
Khu Du Lịch Tanyoli;Ninh Thuận
Không gian Hồn Xưa;Phú Yên
Phim trường Bambi;Phú Yên
Rạp chiếu phim CGV Vincom Phú Yên;Phú Yên
Công viên OZO;Quảng Trị
Đồi cát Quang Phú;Quảng Trị
Suối Nước Moọc;Quảng Trị
Công viên Quảng trường 24-3;Quảng Nam
Nhà biểu diễn nghệ thuật cổ truyền Hội An;Quảng Nam
Nhà trưng bày Mỹ Sơn;Quảng Nam
Biển Khe Hai;Quảng Ngãi
Cánh đồng muối Sa Huỳnh;Quảng Ngãi
Rạp chiếu phim CGV Vincom Quảng Ngãi;Quảng Ngãi
Đồi cát vàng Nhĩ Hạ;Huyện Gio Linh
Khu du lịch Suối nước nóng Klu;Huyện Đa Krông
Khu lâm viên Cọ Dầu;Thành phố Đông Hà
Bảo tàng tỉnh Thanh Hóa;Thanh Hoá
Công viên Thanh Quảng;Thanh Hoá
Nhà hát Ca múa kịch Lam Sơn;Thanh Hoá
Không gian lưu niệm Lê Bá Đảng;Thành phố Huế
Nhà hát Duyệt Thị Đường;Thành phố Huế
Rạp chiếu phim Cinestar Huế;Thành phố Huế
Phố văn hóa - nghệ thuật Quy Nhơn;Gia Lai
Quảng trường Nguyễn Tất Thành;Gia Lai
Rạp phim Starlight Quy Nhơn;Gia Lai
Huyền thoại Làng chài;Bình Thuận
Rạp chiếu phim 19-4;Bình Thuận
Rạp chiếu phim Lotte;Bình Thuận
Bến du thuyền - DHC Marina;Thành phố Đà Nẵng
Công viên suối khoáng nóng núi Thần tài;Thành phố Đà Nẵng
Trung tâm giải trí Helio - Helio Center;Thành phố Đà Nẵng
Bảo tàng Thế giới Cà phê;Đắc Lắk
Công viên nước Đắk Lắk;Đắc Lắk
Làng cà phê Trung Nguyên;Đắc Lắk
Hồ trung tâm Gia Nghĩa;Đắc Nông
Khu du lịch Phước Sơn;Đắc Nông
Khu du lịch Tà Đùng;Đắc Nông
Bảo tàng Gia Lai;Thành phố Pleiku
Công viên Văn hóa Đồng Xanh;Thành phố Pleiku
Touch Cinema;Thành phố Pleiku
Bảo tàng Hà Tĩnh;Hà Tĩnh
Công viên nước Vinpearl Water Park Hà Tĩnh;Hà Tĩnh
Khu du lịch Đồng Nôi;Hà Tĩnh
Nhà hát múa rối nước Nha Trang;Khánh Hoà
Rạp phim Platinum Cineplex - Nha Trang Center;Khánh Hoà
Viện Hải dương học;Khánh Hoà
Công Viên Giọt Nước;Kon Tum
Vườn Hoa Long Loi;Kon Tum
Vườn hoa Măng Đen;Kon Tum
C Bowling Đà Lạt;Lâm Đồng
Quảng trường Lâm Viên;Lâm Đồng
Rạp phim CineStar Đà Lạt;Lâm Đồng
Công viên Trung tâm Thành phố Vinh;Nghệ An
Quảng trường Hồ Chí Minh;Nghệ An
Rạp chiếu phim 12-9;Nghệ An
Chợ đêm Ninh Thuận;Ninh Thuận
Công viên biển Bình Sơn;Ninh Thuận
Tháp Chàm Farm;Ninh Thuận
Hội đua ngựa Gò Thì Thùng;Phú Yên
Quảng trường 1 tháng 4;Phú Yên
Quảng trường Nghinh Phong;Phú Yên
Chợ đêm Đồng Hới;Quảng Trị
Phố đi bộ Đồng Hới;Quảng Trị
Quảng trường biển Bảo Ninh;Quảng Trị
Chợ đêm Nguyễn Hoàng Hội An;Quảng Nam
Công viên Ấn tượng Hội An;Quảng Nam
Lotte Cinema Hội An;Quảng Nam
Công viên Ba Tơ;Quảng Ngãi
Làng bích họa Bình An;Quảng Ngãi
Rạp chiếu phim Galaxy Thuận Thiên;Quảng Ngãi
Bảo tàng tỉnh Quảng Trị;Thành phố Đông Hà
Chợ đêm Đông Hà;Thành phố Đông Hà
Công viên Fidel;Thành phố Đông Hà
Bãi biển Sầm Sơn;Thanh Hoá
Công viên Hội An;Thanh Hoá
Quảng trường Lam Sơn;Thanh Hoá
Bảo tàng Cổ vật Cung đình Huế;Thành phố Huế
Phố đi bộ Nguyễn Đình Chiểu;Thành phố Huế
Trung tâm giải trí Starlight Huế;Thành phố Huế
Công viên Sa Đéc;Thành phố Sa Đéc
Công viên nước Phương Nam;Huyện Lấp Vò
Sa Nhiên Garden;Thành phố Sa Đéc
Khu du lịch sinh thái Mỹ Phước Thành;Thành phố Cao Lãnh
Vườn sinh thái Nam Hương;Huyện Tân Hồng
Trung tâm thương mại Vincom Plaza Hạ  Long;Quảng Ninh
Trung tâm thương mại Vincom Plaza Cẩm  Phả;Quảng Ninh
Cà phê Le Petit;Thành phố Tây Ninh
Khu du lịch sinh thái Phú Hữu;Hậu Giang
Khu Văn hóa Hồ Sen;Hậu Giang
CGV Vincom Plaza Tây Ninh;Thành phố Tây Ninh
DoveZi Coffee;Thành phố Tây Ninh
Quảng trường Hòa Bình;Hậu Giang
Khu di tích lịch sử Giồng Bớm;Bạc Liêu
EDEN Sky Bar & Café;Thành phố Tây Ninh
Chợ đêm Hà Tiên;An Giang
Holiday Club Tây Ninh;Thành phố Tây Ninh
Karaoke Hồng Tuyết;Thành phố Tây Ninh
Karaoke Vui Vui;Thành phố Tây Ninh
Phòng trưng bày nghệ thuật Phu Quoc Gallery of Contemporary Art (GoCA);An Giang
Di tích Lịch sử - Văn hóa cấp Quốc gia Đền thờ Chủ tịch Hồ Chí Minh;Bạc Liêu
You're My Angel Coffee.TEA.Dessert;Thành phố Tây Ninh
Bảo tàng Cội Nguồn;An Giang
RITA Cafe;Bạc Liêu
Siêu quần thể nghỉ dưỡng, vui chơi, giải trí Phú Quốc United Center;An Giang
268 Club;Đồng Tháp
Công viên Sun World Hòn Thơm;An Giang
Bao Minh Coffee;Đồng Tháp
CGV GO! Mỹ Tho;Đồng Tháp
Đại Việt Bookstore & Coffee;Đồng Tháp
Công viên khu lấn biển Rạch Giá;An Giang
Cafe villa 42;Bạc Liêu
Davinci Coffee & Food;Đồng Tháp
Karaoke King;Đồng Tháp
Rạp chiếu phim Cinestar Mỹ Tho;Đồng Tháp
The Coffee House;Đồng Tháp
Công viên An Hòa Rạch Giá;An Giang
Air 360 Sky Lounge;Thành phố Hồ Chí Minh
BHD Cinema;Thành phố Hồ Chí Minh
Crystal•K Karaoke;Thành phố Hồ Chí Minh
Công viên San hô Seaworld Namaste;An Giang
Du Miên Garden Cafe;Thành phố Hồ Chí Minh
LEO Coffee House;Bạc Liêu
Chuồn chuồn Bistro & Skybar;An Giang
Galaxy Cinema;Thành phố Hồ Chí Minh
INK 360 Bar;An Giang
Di tích lịch sử văn hóa Chùa Xiêm Cán;Bạc Liêu
Karaoke ICOOL;Thành phố Hồ Chí Minh
Sailing Club Phú Quốc;An Giang
Karaoke NNICE;Thành phố Hồ Chí Minh
Sunset Sanato Club;An Giang
Kingdom Beer Club bar Sài Gòn;Thành phố Hồ Chí Minh
Quảng trường Hùng Vương;Bạc Liêu
L’USINE;Thành phố Hồ Chí Minh
Công viên Cát Tường Phú Sinh;Tây Ninh
Poc Poc Beer Garden;Thành phố Hồ Chí Minh
Công viên nước Rio Long An;Tây Ninh
September Saigon Cafe  & Cake;Thành phố Hồ Chí Minh
Trường Đua Lam Sơn;Bà Rịa - Vũng Tàu
Khu du lịch Happyland;Tây Ninh
Lâu Đài Đá Cafe;Thành phố Hồ Chí Minh
Vuvuzela bar Sài Gòn;Thành phố Hồ Chí Minh
Cánh đồng cừu;Bà Rịa - Vũng Tàu
Bida A Duy;Trà Vinh
Bida Duy Phong;Trà Vinh
Cafe Kim Sơn;Trà Vinh
Cafe Thủy Trúc;Trà Vinh
CGV Vincom Trà Vinh;Trà Vinh
Karaoke Lưu Luyến;Trà Vinh
Karaoke Moon;Trà Vinh
CGV Lam Sơn Square;Bà Rịa - Vũng Tàu
Mỹ Quỳnh Safari;Tây Ninh
Lotte Cinema Vũng Tàu;Bà Rịa - Vũng Tàu
Con đường rực rỡ hoa kèn hồng;Sóc Trăng
Câu lạc bộ âm nhạc Piano & Guitar Single End;Bà Rịa - Vũng Tàu
The Chill Garden;Bà Rịa - Vũng Tàu
Avengers Pub;Vĩnh Long
Khu du lịch sinh thái Bình An;Sóc Trăng
Brownie Coffee & Dessert;Vĩnh Long
Trung tâm  Văn hóa Triển lãm Hồ Nước Ngọt;Sóc Trăng
La Vie En Rose;Bà Rịa - Vũng Tàu
CGV Vincom;Vĩnh Long
La Bonita Beach Club;Bà Rịa - Vũng Tàu
Karaoke Oxy;Vĩnh Long
Karaoke Thảo Ngân;Vĩnh Long
Mèo Ú Kitchen;Vĩnh Long
Letto Coffee & Tea;Bà Rịa - Vũng Tàu
Quán cà phê The 1996 Coffee & Tea;Vĩnh Long
Robusta Koi Garden;Vĩnh Long
Thóc Cafe;Vĩnh Long
Công viên nước Tropicana Park Hồ Tràm;Bà Rịa - Vũng Tàu
Phim trường Lens studio;Bà Rịa - Vũng Tàu
ART HOUSE COFFEE;Bình Dương
Hồ Bình An;Bình Dương
Vườn Midori Park Bình Dương;Bình Dương
Công viên Rồng Hạ Long;Quảng Ninh
Vườn Nhà Gốm;Bình Dương
Cafe lâu đài Castle Land Coffee;Bình Dương
Vạn Huệ Coffee;Bình Dương
The Tín Coffee & Tea;Bình Dương
Chợ đêm Bạch Đằng;Bình Dương
Khu du lịch Hạ Thảo;Bến Tre
Hồ Câu Vườn Mít;Bến Tre
Cafe Vườn Hồng Bến Tre;Bến Tre
Làng Văn Café;Bến Tre
Café Sweet Home;Bến Tre
Hemo Coffee;Bến Tre
Cà phê Khu Vườn Nhỏ;Bến Tre
The Win Coffee Cá Koi;Bến Tre
Khu du lịch sinh thái vườn Ba Ngói;Bến Tre
