date,Rau má,"Văn hóa, Thể thao các dân tộc vùng Đông Bắc",Đền thờ Đức ông Hoàng Cần,Chợ Tiên Yên,Thác Pạc Sủi
thg 1 2004,0.0,0.0,0.0,0.0,0.0
thg 1 2005,0.0,0.0,0.0,0.0,0.0
thg 1 2006,0.0,0.0,0.0,0.0,0.0
thg 1 2007,0.0,0.0,0.0,0.0,0.0
thg 1 2008,0.0,0.0,0.0,0.0,0.0
thg 1 2009,0.0,0.0,0.0,0.0,0.0
thg 1 2010,0.0,0.0,0.0,0.0,0.0
thg 1 2011,2.5,0.0,0.0,0.0,0.0
thg 1 2012,3.5,0.0,0.0,0.0,0.0
thg 1 2013,7.0,0.0,0.0,0.0,0.0
thg 1 2014,6.0,0.0,0.0,0.0,0.0
thg 1 2015,10.0,0.0,0.0,0.0,0.0
thg 1 2016,13.0,0.0,0.0,0.0,0.0
thg 1 2017,14.0,0.0,0.0,0.0,0.0
thg 1 2018,30.5,0.0,0.0,0.0,0.0
thg 1 2019,27.0,0.0,0.0,0.0,0.0
thg 1 2020,32.5,0.0,0.0,0.0,0.0
thg 1 2021,49.0,0.0,0.0,0.0,0.0
thg 1 2022,44.5,0.0,0.0,0.0,0.0
thg 1 2023,43.5,0.0,0.0,0.0,0.0
thg 1 2024,49.0,0.0,0.0,0.0,0.0
thg 1 2025,41.5,0.0,0.0,0.0,0.0
thg 10 2004,0.0,0.0,0.0,0.0,0.0
thg 10 2005,0.0,0.0,0.0,0.0,0.0
thg 10 2006,0.0,0.0,0.0,0.0,0.0
thg 10 2007,0.0,0.0,0.0,0.0,0.0
thg 10 2008,0.0,0.0,0.0,0.0,0.0
thg 10 2009,0.0,0.0,0.0,0.0,0.0
thg 10 2010,0.0,0.0,0.0,0.0,0.0
thg 10 2011,5.5,0.0,0.0,0.0,0.0
thg 10 2012,11.5,0.0,0.0,0.0,0.0
thg 10 2013,9.0,0.0,0.0,0.0,0.0
thg 10 2014,11.0,0.0,0.0,0.0,0.0
thg 10 2015,15.0,0.0,0.0,0.0,0.0
thg 10 2016,18.5,0.0,0.0,0.0,0.0
thg 10 2017,25.5,0.0,0.0,0.0,0.0
thg 10 2018,31.5,0.0,0.0,0.0,0.0
thg 10 2019,37.5,0.0,0.0,0.0,0.0
thg 10 2020,47.0,0.0,0.0,0.0,0.0
thg 10 2021,53.5,0.0,0.0,0.0,0.0
thg 10 2022,49.666666666666664,0.0,0.0,0.0,0.0
thg 10 2023,56.5,0.0,0.0,0.0,0.0
thg 10 2024,55.0,0.0,0.0,0.0,0.0
thg 10 2025,57.5,0.0,0.0,1.0,0.0
thg 11 2004,0.0,0.0,0.0,0.0,0.0
thg 11 2005,0.0,0.0,0.0,0.0,0.0
thg 11 2006,16.0,0.0,0.0,0.0,0.0
thg 11 2007,0.0,0.0,0.0,0.0,0.0
thg 11 2008,0.0,0.0,0.0,0.0,0.0
thg 11 2009,5.0,0.0,0.0,0.0,0.0
thg 11 2010,2.0,0.0,0.0,0.0,0.0
thg 11 2011,6.0,0.0,0.0,0.0,0.0
thg 11 2012,10.0,0.0,0.0,0.0,0.0
thg 11 2013,9.0,0.0,0.0,0.0,0.0
thg 11 2014,11.5,0.0,0.0,0.0,0.0
thg 11 2015,14.5,0.0,0.0,0.0,0.0
thg 11 2016,16.0,0.0,0.0,0.0,0.0
thg 11 2017,28.5,0.0,0.0,0.0,0.0
thg 11 2018,28.5,0.0,0.0,0.0,0.0
thg 11 2019,34.0,0.0,0.0,0.0,0.0
thg 11 2020,54.0,0.0,0.0,0.0,0.0
thg 11 2021,45.0,0.0,0.0,0.0,0.0
thg 11 2022,48.5,0.0,0.0,0.0,0.0
thg 11 2023,55.333333333333336,0.0,0.0,0.0,0.0
thg 11 2024,55.5,0.0,0.0,0.0,0.0
thg 11 2025,54.5,0.0,0.0,1.0,0.0
thg 12 2004,0.0,0.0,0.0,0.0,0.0
thg 12 2005,0.0,0.0,0.0,0.0,0.0
thg 12 2006,0.0,0.0,0.0,0.0,0.0
thg 12 2007,0.0,0.0,0.0,0.0,0.0
thg 12 2008,0.0,0.0,0.0,0.0,0.0
thg 12 2009,3.0,0.0,0.0,0.0,0.0
thg 12 2010,2.5,0.0,0.0,0.0,0.0
thg 12 2011,4.0,0.0,0.0,0.0,0.0
thg 12 2012,7.5,0.0,0.0,0.0,0.0
thg 12 2013,8.5,0.0,0.0,0.0,0.0
thg 12 2014,10.0,0.0,0.0,0.0,0.0
thg 12 2015,15.0,0.0,0.0,0.0,0.0
thg 12 2016,15.0,0.0,0.0,0.0,0.0
thg 12 2017,29.0,0.0,0.0,0.0,0.0
thg 12 2018,27.0,0.0,0.0,0.0,0.0
thg 12 2019,34.5,0.0,0.0,0.0,0.0
thg 12 2020,50.5,0.0,0.0,0.0,0.0
thg 12 2021,43.0,0.0,0.0,0.0,0.0
thg 12 2022,45.5,0.0,0.0,0.0,0.0
thg 12 2023,52.5,0.0,0.0,0.0,0.0
thg 12 2024,48.5,0.0,0.0,0.0,0.0
thg 12 2025,56.5,0.0,0.0,1.0,0.0
thg 2 2004,0.0,0.0,0.0,0.0,0.0
thg 2 2005,0.0,0.0,0.0,0.0,0.0
thg 2 2006,0.0,0.0,0.0,0.0,0.0
thg 2 2007,0.0,0.0,0.0,0.0,0.0
thg 2 2008,0.0,0.0,0.0,0.0,0.0
thg 2 2009,6.0,0.0,0.0,0.0,0.0
thg 2 2010,0.0,0.0,0.0,0.0,0.0
