date,Rau má,Đền thờ Vua Lê Thái Tổ,Miếu Tiên Công,Chùa Yên Giang,"Đình, chùa Yên Đông"
thg 1 2004,0.0,0.0,0.0,0.0,0.0
thg 1 2005,0.0,0.0,0.0,0.0,0.0
thg 1 2006,0.0,0.0,0.0,0.0,0.0
thg 1 2007,0.0,0.0,0.0,0.0,0.0
thg 1 2008,0.0,0.0,0.0,0.0,0.0
thg 1 2009,0.0,0.0,0.0,0.0,0.0
thg 1 2010,0.0,0.0,0.0,0.0,0.0
thg 1 2011,1.6666666666666667,0.0,0.0,0.0,0.0
thg 1 2012,2.3333333333333335,0.0,0.0,0.0,0.0
thg 1 2013,3.5,0.0,0.0,0.0,0.0
thg 1 2014,3.0,0.0,0.0,0.0,0.0
thg 1 2015,5.0,0.0,0.0,0.0,0.0
thg 1 2016,7.0,0.0,0.0,0.0,0.0
thg 1 2017,7.5,0.0,0.0,0.0,0.0
thg 1 2018,20.666666666666668,0.0,0.0,0.0,0.0
thg 1 2019,14.0,0.0,0.0,1.0,0.0
thg 1 2020,22.333333333333332,0.0,0.0,1.0,0.0
thg 1 2021,33.333333333333336,0.0,0.0,1.0,0.0
thg 1 2022,30.333333333333332,0.0,1.0,0.0,0.0
thg 1 2023,29.666666666666668,0.0,0.0,2.0,0.0
thg 1 2024,33.666666666666664,0.0,0.0,1.0,0.0
thg 1 2025,28.333333333333332,0.0,1.0,1.0,0.0
thg 10 2004,0.0,0.0,0.0,0.0,0.0
thg 10 2005,0.0,0.0,0.0,0.0,0.0
thg 10 2006,0.0,0.0,0.0,0.0,0.0
thg 10 2007,0.0,0.0,0.0,0.0,0.0
thg 10 2008,0.0,0.0,0.0,0.0,0.0
thg 10 2009,0.0,0.0,0.0,0.0,0.0
thg 10 2010,0.0,0.0,0.0,0.0,0.0
thg 10 2011,2.5,0.0,0.0,0.0,0.0
thg 10 2012,8.0,0.0,0.0,0.0,0.0
thg 10 2013,4.5,0.0,0.0,0.0,0.0
thg 10 2014,6.0,0.0,0.0,0.0,0.0
thg 10 2015,8.0,0.0,0.0,0.0,0.0
thg 10 2016,12.666666666666666,0.0,0.0,0.0,0.0
thg 10 2017,17.333333333333332,0.0,0.0,0.0,0.0
thg 10 2018,21.666666666666668,0.0,0.0,0.0,0.0
thg 10 2019,25.666666666666668,0.0,0.0,0.0,0.0
thg 10 2020,24.5,0.0,0.0,0.0,0.0
thg 10 2021,36.333333333333336,0.0,0.0,0.0,0.0
thg 10 2022,34.333333333333336,0.0,1.0,1.0,0.0
thg 10 2023,29.5,0.0,1.0,1.0,0.0
thg 10 2024,37.666666666666664,0.0,1.0,1.0,0.0
thg 10 2025,39.333333333333336,0.0,1.0,1.0,0.0
thg 11 2004,0.0,0.0,0.0,0.0,0.0
thg 11 2005,0.0,0.0,0.0,0.0,0.0
thg 11 2006,16.0,0.0,0.0,0.0,0.0
thg 11 2007,0.0,0.0,0.0,0.0,0.0
thg 11 2008,0.0,0.0,0.0,0.0,0.0
thg 11 2009,2.5,0.0,0.0,0.0,0.0
thg 11 2010,0.0,0.0,0.0,0.0,0.0
thg 11 2011,3.0,0.0,0.0,0.0,0.0
thg 11 2012,5.0,0.0,0.0,0.0,0.0
thg 11 2013,4.5,0.0,0.0,0.0,0.0
thg 11 2014,8.0,0.0,0.0,0.0,0.0
thg 11 2015,10.0,0.0,0.0,0.0,0.0
thg 11 2016,8.5,0.0,0.0,0.0,0.0
thg 11 2017,19.333333333333332,0.0,0.0,0.0,0.0
thg 11 2018,19.333333333333332,0.0,0.0,0.0,0.0
thg 11 2019,18.0,0.0,0.0,1.0,0.0
thg 11 2020,28.0,0.0,0.0,0.0,0.0
thg 11 2021,30.666666666666668,0.0,2.0,1.0,0.0
thg 11 2022,33.0,0.0,0.0,1.0,0.0
thg 11 2023,38.0,0.0,0.0,1.0,0.0
thg 11 2024,38.0,0.0,1.0,1.0,0.0
thg 11 2025,37.333333333333336,0.0,2.0,1.0,0.0
thg 12 2004,0.0,0.0,0.0,0.0,0.0
thg 12 2005,0.0,0.0,0.0,0.0,0.0
thg 12 2006,0.0,0.0,0.0,0.0,0.0
thg 12 2007,0.0,0.0,0.0,0.0,0.0
thg 12 2008,0.0,0.0,0.0,0.0,0.0
thg 12 2009,3.0,0.0,0.0,0.0,0.0
thg 12 2010,2.5,0.0,0.0,0.0,0.0
thg 12 2011,2.0,0.0,0.0,0.0,0.0
thg 12 2012,5.0,0.0,0.0,0.0,0.0
thg 12 2013,5.666666666666667,0.0,0.0,0.0,0.0
thg 12 2014,5.0,0.0,0.0,0.0,0.0
thg 12 2015,8.0,0.0,0.0,0.0,0.0
thg 12 2016,8.0,0.0,0.0,0.0,0.0
thg 12 2017,15.0,0.0,0.0,0.0,0.0
thg 12 2018,14.0,0.0,0.0,0.0,0.0
thg 12 2019,23.666666666666668,0.0,0.0,0.0,0.0
thg 12 2020,34.333333333333336,0.0,0.0,1.0,0.0
thg 12 2021,29.333333333333332,0.0,2.0,1.0,0.0
thg 12 2022,31.0,0.0,0.0,1.0,0.0
thg 12 2023,36.0,0.0,1.0,1.0,0.0
thg 12 2024,33.0,0.0,1.0,1.0,0.0
thg 12 2025,38.666666666666664,0.0,1.0,1.0,0.0
thg 2 2004,0.0,0.0,0.0,0.0,0.0
thg 2 2005,0.0,0.0,0.0,0.0,0.0
thg 2 2006,0.0,0.0,0.0,0.0,0.0
thg 2 2007,0.0,0.0,0.0,0.0,0.0
