date,Cánh Đồng Bất Tận,Hàng cau vua Tân Trụ,Làng Tre Phú An,Rau má,Thủy Châu
thg 1 2004,0.0,0.0,0.0,0.0,0.0
thg 1 2005,0.0,0.0,0.0,0.0,0.0
thg 1 2006,0.0,0.0,0.0,0.0,0.0
thg 1 2007,0.0,0.0,0.0,0.0,0.0
thg 1 2008,0.0,0.0,0.0,0.0,0.0
thg 1 2009,0.0,0.0,0.0,0.0,2.0
thg 1 2010,2.0,0.0,0.0,1.0,1.0
thg 1 2011,20.0,0.0,0.0,1.0,1.0
thg 1 2012,2.0,0.0,0.0,1.0,1.0
thg 1 2013,1.0,0.0,0.0,2.0,1.0
thg 1 2014,1.0,0.0,0.0,1.0,1.0
thg 1 2015,1.0,0.0,0.0,2.0,1.0
thg 1 2016,0.0,0.0,0.0,3.0,2.0
thg 1 2017,0.0,0.0,0.0,3.0,2.0
thg 1 2018,0.0,0.0,0.0,7.0,3.0
thg 1 2019,0.0,0.0,0.0,6.0,3.0
thg 1 2020,1.0,0.0,0.0,7.0,4.0
thg 1 2021,0.0,0.0,0.0,11.0,3.0
thg 1 2022,0.0,0.0,0.0,10.0,7.0
thg 1 2023,1.0,0.0,0.0,10.0,4.0
thg 1 2024,2.0,0.0,0.0,11.0,4.0
thg 1 2025,1.0,0.0,0.0,9.0,3.0
thg 10 2004,0.0,0.0,0.0,0.0,0.0
thg 10 2005,0.0,0.0,0.0,0.0,0.0
thg 10 2006,0.0,0.0,0.0,0.0,0.0
thg 10 2007,0.0,0.0,0.0,0.0,0.0
thg 10 2008,3.0,0.0,0.0,0.0,5.0
thg 10 2009,0.0,0.0,0.0,0.0,3.0
thg 10 2010,36.0,0.0,0.0,0.0,3.0
thg 10 2011,3.0,0.0,0.0,1.0,4.0
thg 10 2012,1.0,0.0,0.0,2.0,4.0
thg 10 2013,0.0,0.0,0.0,2.0,4.0
thg 10 2014,0.0,0.0,0.0,2.0,6.0
thg 10 2015,1.0,0.0,0.0,3.0,8.0
thg 10 2016,0.0,0.0,0.0,4.0,10.0
thg 10 2017,0.0,0.0,0.0,6.0,10.0
thg 10 2018,1.0,0.0,0.0,7.0,14.0
thg 10 2019,1.0,0.0,0.0,8.0,14.0
thg 10 2020,0.0,0.0,0.0,11.0,18.0
thg 10 2021,0.0,0.0,0.0,11.0,27.0
thg 10 2022,1.0,0.0,0.0,12.0,5.0
thg 10 2023,1.0,0.0,0.0,13.0,4.0
thg 10 2024,1.0,0.0,0.0,12.0,4.0
thg 10 2025,1.0,0.0,0.0,13.0,4.0
thg 11 2004,0.0,0.0,0.0,0.0,0.0
thg 11 2005,16.0,15.0,0.0,0.0,0.0
thg 11 2006,0.0,0.0,0.0,0.0,0.0
thg 11 2007,4.0,0.0,0.0,0.0,0.0
thg 11 2008,0.0,0.0,0.0,0.0,0.0
thg 11 2009,0.0,0.0,0.0,0.0,2.0
thg 11 2010,30.0,0.0,0.0,0.0,1.0
thg 11 2011,2.0,0.0,0.0,1.0,2.0
thg 11 2012,1.0,0.0,0.0,2.0,2.0
thg 11 2013,0.0,0.0,0.0,2.0,2.0
thg 11 2014,1.0,0.0,0.0,3.0,2.0
thg 11 2015,1.0,0.0,0.0,3.0,4.0
thg 11 2016,0.0,0.0,0.0,4.0,4.0
thg 11 2017,1.0,0.0,0.0,7.0,4.0
thg 11 2018,1.0,0.0,0.0,6.0,5.0
thg 11 2019,1.0,0.0,0.0,8.0,5.0
thg 11 2020,1.0,0.0,0.0,12.0,14.0
thg 11 2021,0.0,0.0,0.0,10.0,16.0
thg 11 2022,1.0,0.0,0.0,11.0,4.0
thg 11 2023,2.0,0.0,0.0,13.0,4.0
thg 11 2024,1.0,0.0,0.0,12.0,4.0
thg 11 2025,1.0,0.0,0.0,12.0,4.0
thg 12 2004,0.0,0.0,0.0,0.0,29.0
thg 12 2005,19.0,0.0,0.0,0.0,0.0
thg 12 2006,0.0,0.0,0.0,0.0,0.0
thg 12 2007,4.0,0.0,0.0,0.0,0.0
thg 12 2008,0.0,0.0,0.0,0.0,2.0
thg 12 2009,1.0,0.0,0.0,1.0,1.0
thg 12 2010,15.0,0.0,0.0,0.0,1.0
thg 12 2011,3.0,0.0,0.0,1.0,2.0
thg 12 2012,1.0,0.0,0.0,2.0,2.0
thg 12 2013,1.0,0.0,0.0,2.0,3.0
thg 12 2014,1.0,0.0,0.0,2.0,3.0
thg 12 2015,0.0,0.0,0.0,3.0,4.0
thg 12 2016,0.0,0.0,0.0,3.0,4.0
thg 12 2017,0.0,0.0,0.0,7.0,5.0
thg 12 2018,1.0,0.0,0.0,6.0,5.0
thg 12 2019,1.0,0.0,0.0,8.0,5.0
thg 12 2020,1.0,0.0,0.0,12.0,5.0
thg 12 2021,0.0,0.0,0.0,10.0,8.0
thg 12 2022,1.0,0.0,0.0,10.0,4.0
thg 12 2023,1.0,0.0,0.0,12.0,4.0
thg 12 2024,1.0,0.0,0.0,11.0,4.0
thg 12 2025,1.0,0.0,0.0,13.0,5.0
thg 2 2004,0.0,0.0,0.0,0.0,0.0
thg 2 2005,0.0,0.0,0.0,0.0,0.0
thg 2 2006,0.0,0.0,0.0,0.0,0.0
thg 2 2007,10.0,0.0,0.0,0.0,0.0
thg 2 2008,0.0,0.0,0.0,0.0,0.0
thg 2 2009,2.0,0.0,0.0,2.0,0.0
thg 2 2010,0.0,0.0,0.0,0.0,0.0
thg 2 2011,19.0,0.0,0.0,1.0,1.0
