date,Hồ Tây,Ngục Đắk Mil,Núi lửa Băng Mo,Rau má,Thác đá Granite
thg 1 2004,0.0,0.0,0.0,0.0,0.0
thg 1 2005,0.0,0.0,0.0,0.0,0.0
thg 1 2006,0.0,0.0,0.0,0.0,0.0
thg 1 2007,15.0,0.0,0.0,0.0,0.0
thg 1 2008,20.0,0.0,0.0,0.0,0.0
thg 1 2009,11.0,0.0,0.0,0.0,0.0
thg 1 2010,18.0,0.0,0.0,2.0,0.0
thg 1 2011,12.0,0.0,0.0,1.0,0.0
thg 1 2012,12.0,0.0,0.0,1.0,0.0
thg 1 2013,16.0,0.0,0.0,3.0,0.0
thg 1 2014,20.0,0.0,0.0,3.0,0.0
thg 1 2015,25.0,0.0,0.0,4.0,0.0
thg 1 2016,23.0,0.0,0.0,5.0,0.0
thg 1 2017,31.0,0.0,0.0,6.0,0.0
thg 1 2018,32.0,0.0,0.0,12.0,0.0
thg 1 2019,34.0,0.0,0.0,11.0,0.0
thg 1 2020,38.0,0.0,0.0,13.0,0.0
thg 1 2021,43.0,0.0,0.0,20.0,0.0
thg 1 2022,54.0,0.0,0.0,18.0,0.0
thg 1 2023,52.0,0.0,0.0,18.0,0.0
thg 1 2024,57.0,0.0,0.0,20.0,0.0
thg 1 2025,75.0,0.0,0.0,17.0,0.0
thg 10 2004,0.0,0.0,0.0,0.0,0.0
thg 10 2005,0.0,0.0,0.0,0.0,0.0
thg 10 2006,18.0,0.0,0.0,0.0,0.0
thg 10 2007,22.0,0.0,0.0,0.0,0.0
thg 10 2008,21.0,0.0,0.0,0.0,0.0
thg 10 2009,17.0,0.0,0.0,0.0,0.0
thg 10 2010,22.0,0.0,0.0,0.0,0.0
thg 10 2011,17.0,0.0,0.0,2.0,0.0
thg 10 2012,19.0,0.0,0.0,4.0,0.0
thg 10 2013,22.0,0.0,0.0,4.0,0.0
thg 10 2014,30.0,0.0,0.0,4.0,0.0
thg 10 2015,30.0,0.0,0.0,6.0,0.0
thg 10 2016,54.0,0.0,0.0,8.0,0.0
thg 10 2017,38.0,0.0,0.0,10.0,0.0
thg 10 2018,42.0,0.0,0.0,13.0,0.0
thg 10 2019,49.0,0.0,0.0,16.0,0.0
thg 10 2020,54.0,0.0,0.0,19.0,0.0
thg 10 2021,45.0,0.0,0.0,20.0,0.0
thg 10 2022,67.0,0.0,0.0,21.0,0.0
thg 10 2023,71.0,0.0,0.0,23.0,0.0
thg 10 2024,75.0,0.0,0.0,22.0,0.0
thg 10 2025,80.0,0.0,0.0,24.0,0.0
thg 11 2004,0.0,0.0,0.0,0.0,0.0
thg 11 2005,0.0,0.0,0.0,0.0,0.0
thg 11 2006,14.0,0.0,0.0,0.0,0.0
thg 11 2007,15.0,0.0,0.0,0.0,0.0
thg 11 2008,15.0,0.0,0.0,0.0,0.0
thg 11 2009,14.0,0.0,0.0,2.0,0.0
thg 11 2010,15.0,0.0,0.0,0.0,0.0
thg 11 2011,16.0,0.0,0.0,2.0,0.0
thg 11 2012,17.0,0.0,0.0,4.0,0.0
thg 11 2013,21.0,0.0,0.0,4.0,0.0
thg 11 2014,22.0,0.0,0.0,5.0,0.0
thg 11 2015,30.0,0.0,0.0,6.0,0.0
thg 11 2016,30.0,0.0,0.0,7.0,0.0
thg 11 2017,33.0,0.0,0.0,12.0,0.0
thg 11 2018,36.0,0.0,0.0,12.0,0.0
thg 11 2019,45.0,0.0,0.0,14.0,0.0
thg 11 2020,55.0,0.0,0.0,22.0,0.0
thg 11 2021,40.0,0.0,0.0,18.0,0.0
thg 11 2022,55.0,0.0,0.0,20.0,0.0
thg 11 2023,64.0,0.0,0.0,23.0,0.0
thg 11 2024,73.0,0.0,0.0,21.0,0.0
thg 11 2025,83.0,0.0,0.0,22.0,0.0
thg 12 2004,0.0,0.0,0.0,0.0,0.0
thg 12 2005,35.0,0.0,0.0,0.0,0.0
thg 12 2006,21.0,0.0,0.0,0.0,0.0
thg 12 2007,17.0,0.0,0.0,0.0,0.0
thg 12 2008,14.0,0.0,0.0,0.0,0.0
thg 12 2009,16.0,0.0,0.0,0.0,0.0
thg 12 2010,18.0,0.0,0.0,1.0,0.0
thg 12 2011,15.0,0.0,0.0,2.0,0.0
thg 12 2012,15.0,0.0,0.0,3.0,0.0
thg 12 2013,21.0,0.0,0.0,3.0,0.0
thg 12 2014,33.0,0.0,0.0,4.0,0.0
thg 12 2015,29.0,0.0,0.0,6.0,0.0
thg 12 2016,33.0,0.0,0.0,6.0,0.0
thg 12 2017,36.0,0.0,0.0,12.0,0.0
thg 12 2018,36.0,0.0,0.0,11.0,0.0
thg 12 2019,40.0,0.0,0.0,14.0,0.0
thg 12 2020,50.0,0.0,0.0,20.0,0.0
thg 12 2021,47.0,0.0,0.0,17.0,0.0
thg 12 2022,49.0,0.0,0.0,19.0,0.0
thg 12 2023,67.0,0.0,0.0,22.0,0.0
thg 12 2024,74.0,0.0,0.0,20.0,0.0
thg 12 2025,79.0,0.0,0.0,23.0,0.0
thg 2 2004,0.0,0.0,0.0,0.0,0.0
thg 2 2005,0.0,0.0,0.0,0.0,0.0
thg 2 2006,32.0,0.0,0.0,0.0,0.0
thg 2 2007,20.0,0.0,0.0,0.0,0.0
thg 2 2008,25.0,0.0,0.0,0.0,0.0
thg 2 2009,23.0,0.0,0.0,4.0,0.0
thg 2 2010,16.0,0.0,0.0,0.0,0.0
thg 2 2011,18.0,0.0,0.0,2.0,0.0
thg 2 2012,17.0,0.0,0.0,3.0,0.0
