date,Côn Đảo,Hòn Gầm Ghì,Hòn Mây Rút,Hòn Một,Rau má
thg 1 2004,0.0,0.0,0.0,0.0,0.0
thg 1 2005,92.0,0.0,0.0,0.0,0.0
thg 1 2006,0.0,0.0,0.0,0.0,0.0
thg 1 2007,0.0,0.0,0.0,0.0,0.0
thg 1 2008,0.0,0.0,0.0,0.0,0.0
thg 1 2009,0.0,0.0,0.0,0.0,0.0
thg 1 2010,10.0,0.0,0.0,0.0,4.0
thg 1 2011,9.0,0.0,0.0,1.0,3.0
thg 1 2012,7.0,0.0,0.0,1.0,2.0
thg 1 2013,9.0,0.0,0.0,3.0,5.0
thg 1 2014,8.0,0.0,0.0,2.0,5.0
thg 1 2015,10.0,0.0,0.0,2.0,8.0
thg 1 2016,12.0,0.0,0.0,2.0,10.0
thg 1 2017,14.0,0.0,0.0,3.0,11.0
thg 1 2018,22.0,0.0,0.0,4.0,24.0
thg 1 2019,26.0,0.0,0.0,5.0,22.0
thg 1 2020,35.0,0.0,0.0,5.0,27.0
thg 1 2021,40.0,0.0,0.0,10.0,39.0
thg 1 2022,45.0,0.0,0.0,28.0,35.0
thg 1 2023,43.0,0.0,0.0,8.0,35.0
thg 1 2024,49.0,0.0,0.0,8.0,40.0
thg 1 2025,39.0,0.0,0.0,11.0,33.0
thg 10 2004,0.0,0.0,0.0,0.0,0.0
thg 10 2005,0.0,0.0,0.0,0.0,0.0
thg 10 2006,26.0,0.0,0.0,0.0,0.0
thg 10 2007,10.0,0.0,0.0,0.0,0.0
thg 10 2008,11.0,0.0,0.0,0.0,0.0
thg 10 2009,10.0,0.0,0.0,0.0,0.0
thg 10 2010,7.0,0.0,0.0,0.0,0.0
thg 10 2011,8.0,0.0,1.0,1.0,4.0
thg 10 2012,9.0,0.0,0.0,1.0,9.0
thg 10 2013,10.0,0.0,0.0,2.0,7.0
thg 10 2014,12.0,0.0,0.0,2.0,9.0
thg 10 2015,13.0,0.0,0.0,3.0,12.0
thg 10 2016,13.0,0.0,0.0,4.0,15.0
thg 10 2017,26.0,0.0,0.0,4.0,20.0
thg 10 2018,25.0,0.0,0.0,6.0,25.0
thg 10 2019,30.0,0.0,0.0,7.0,30.0
thg 10 2020,46.0,0.0,0.0,11.0,38.0
thg 10 2021,15.0,0.0,0.0,25.0,39.0
thg 10 2022,37.0,0.0,0.0,17.0,41.0
thg 10 2023,45.0,0.0,0.0,13.0,45.0
thg 10 2024,31.0,0.0,0.0,16.0,43.0
thg 10 2025,34.0,0.0,0.0,16.0,46.0
thg 11 2004,0.0,0.0,0.0,0.0,0.0
thg 11 2005,0.0,0.0,0.0,0.0,0.0
thg 11 2006,0.0,0.0,0.0,0.0,0.0
thg 11 2007,15.0,0.0,0.0,0.0,0.0
thg 11 2008,19.0,0.0,0.0,0.0,0.0
thg 11 2009,9.0,0.0,0.0,0.0,0.0
thg 11 2010,8.0,0.0,0.0,0.0,0.0
thg 11 2011,20.0,0.0,0.0,3.0,5.0
thg 11 2012,9.0,0.0,0.0,2.0,8.0
thg 11 2013,12.0,0.0,0.0,2.0,7.0
thg 11 2014,12.0,0.0,0.0,3.0,9.0
thg 11 2015,14.0,0.0,0.0,3.0,11.0
thg 11 2016,14.0,0.0,0.0,5.0,13.0
thg 11 2017,25.0,0.0,0.0,5.0,23.0
thg 11 2018,28.0,0.0,0.0,6.0,23.0
thg 11 2019,29.0,0.0,0.0,6.0,27.0
thg 11 2020,46.0,0.0,1.0,11.0,44.0
thg 11 2021,16.0,0.0,0.0,28.0,36.0
thg 11 2022,35.0,0.0,0.0,17.0,38.0
thg 11 2023,33.0,0.0,0.0,14.0,45.0
thg 11 2024,32.0,0.0,0.0,18.0,42.0
thg 11 2025,32.0,0.0,0.0,17.0,44.0
thg 12 2004,0.0,0.0,0.0,0.0,0.0
thg 12 2005,0.0,0.0,0.0,0.0,0.0
thg 12 2006,0.0,0.0,0.0,0.0,0.0
thg 12 2007,21.0,0.0,0.0,0.0,0.0
thg 12 2008,11.0,0.0,0.0,0.0,0.0
thg 12 2009,8.0,0.0,0.0,0.0,4.0
thg 12 2010,6.0,0.0,0.0,0.0,0.0
thg 12 2011,10.0,0.0,0.0,1.0,3.0
thg 12 2012,10.0,0.0,0.0,2.0,6.0
thg 12 2013,8.0,0.0,0.0,2.0,6.0
thg 12 2014,11.0,0.0,0.0,2.0,8.0
thg 12 2015,14.0,0.0,0.0,4.0,12.0
thg 12 2016,15.0,0.0,0.0,5.0,12.0
thg 12 2017,27.0,0.0,0.0,6.0,23.0
thg 12 2018,26.0,0.0,0.0,9.0,22.0
thg 12 2019,32.0,0.0,0.0,9.0,28.0
thg 12 2020,43.0,0.0,0.0,15.0,41.0
thg 12 2021,23.0,0.0,0.0,30.0,34.0
thg 12 2022,37.0,0.0,0.0,19.0,37.0
thg 12 2023,33.0,0.0,0.0,15.0,42.0
thg 12 2024,38.0,0.0,0.0,18.0,39.0
thg 12 2025,35.0,0.0,0.0,16.0,45.0
thg 2 2004,0.0,0.0,0.0,0.0,0.0
thg 2 2005,0.0,0.0,0.0,0.0,0.0
thg 2 2006,0.0,0.0,0.0,0.0,0.0
thg 2 2007,0.0,0.0,0.0,0.0,0.0
thg 2 2008,19.0,0.0,0.0,0.0,0.0
thg 2 2009,16.0,0.0,0.0,0.0,7.0
thg 2 2010,8.0,0.0,0.0,5.0,0.0
thg 2 2011,10.0,0.0,0.0,2.0,3.0
thg 2 2012,11.0,0.0,0.0,1.0,5.0
thg 2 2013,9.0,0.0,0.0,2.0,6.0
thg 2 2014,13.0,0.0,0.0,3.0,7.0
thg 2 2015,12.0,0.0,0.0,2.0,8.0
thg 2 2016,16.0,0.0,0.0,4.0,12.0
thg 2 2017,30.0,0.0,0.0,6.0,18.0
thg 2 2018,33.0,0.0,0.0,7.0,23.0
thg 2 2019,67.0,0.0,0.0,7.0,29.0
thg 2 2020,49.0,0.0,0.0,7.0,35.0
thg 2 2021,39.0,0.0,0.0,11.0,42.0
thg 2 2022,87.0,0.0,1.0,26.0,41.0
thg 2 2023,81.0,0.0,0.0,15.0,51.0
thg 2 2024,60.0,0.0,0.0,11.0,46.0
thg 2 2025,56.0,0.0,0.0,12.0,40.0
thg 3 2004,0.0,0.0,0.0,0.0,0.0
thg 3 2005,0.0,0.0,0.0,0.0,0.0
thg 3 2006,0.0,0.0,0.0,0.0,0.0
thg 3 2007,17.0,0.0,0.0,0.0,0.0
thg 3 2008,17.0,0.0,0.0,0.0,0.0
thg 3 2009,16.0,0.0,0.0,0.0,0.0
thg 3 2010,14.0,0.0,0.0,0.0,5.0
thg 3 2011,12.0,0.0,0.0,1.0,4.0
thg 3 2012,12.0,0.0,0.0,2.0,7.0
thg 3 2013,15.0,0.0,0.0,3.0,8.0
thg 3 2014,15.0,0.0,0.0,3.0,12.0
thg 3 2015,23.0,0.0,0.0,3.0,15.0
thg 3 2016,22.0,0.0,0.0,5.0,19.0
thg 3 2017,31.0,0.0,0.0,7.0,24.0
thg 3 2018,56.0,0.0,0.0,7.0,37.0
thg 3 2019,61.0,0.0,0.0,10.0,34.0
thg 3 2020,32.0,0.0,0.0,11.0,45.0
thg 3 2021,88.0,0.0,0.0,20.0,53.0
thg 3 2022,82.0,0.0,0.0,41.0,52.0
thg 3 2023,79.0,0.0,0.0,23.0,66.0
thg 3 2024,83.0,0.0,0.0,19.0,55.0
thg 3 2025,64.0,0.0,0.0,18.0,53.0
thg 4 2004,0.0,0.0,0.0,0.0,0.0
thg 4 2005,0.0,0.0,0.0,0.0,0.0
thg 4 2006,0.0,0.0,0.0,0.0,0.0
thg 4 2007,17.0,0.0,0.0,0.0,0.0
thg 4 2008,20.0,0.0,0.0,0.0,0.0
thg 4 2009,25.0,0.0,0.0,0.0,6.0
thg 4 2010,14.0,0.0,0.0,0.0,5.0
thg 4 2011,13.0,0.0,0.0,4.0,8.0
thg 4 2012,11.0,0.0,0.0,8.0,10.0
thg 4 2013,16.0,0.0,0.0,4.0,10.0
thg 4 2014,16.0,0.0,0.0,4.0,15.0
thg 4 2015,22.0,0.0,0.0,4.0,16.0
thg 4 2016,23.0,0.0,0.0,7.0,25.0
thg 4 2017,32.0,0.0,0.0,8.0,29.0
thg 4 2018,52.0,0.0,0.0,8.0,36.0
thg 4 2019,59.0,1.0,0.0,10.0,43.0
thg 4 2020,22.0,0.0,0.0,21.0,58.0
thg 4 2021,100.0,0.0,0.0,17.0,51.0
thg 4 2022,91.0,0.0,0.0,32.0,56.0
thg 4 2023,81.0,0.0,0.0,25.0,74.0
thg 4 2024,64.0,0.0,0.0,19.0,64.0
thg 4 2025,61.0,0.0,0.0,16.0,50.0
thg 5 2004,0.0,0.0,0.0,0.0,0.0
thg 5 2005,0.0,0.0,0.0,0.0,0.0
thg 5 2006,0.0,0.0,0.0,0.0,0.0
thg 5 2007,17.0,0.0,0.0,0.0,0.0
thg 5 2008,25.0,0.0,0.0,0.0,9.0
thg 5 2009,14.0,0.0,0.0,0.0,6.0
thg 5 2010,13.0,0.0,0.0,0.0,8.0
thg 5 2011,12.0,0.0,0.0,2.0,6.0
thg 5 2012,14.0,0.0,0.0,3.0,10.0
thg 5 2013,17.0,0.0,0.0,4.0,12.0
thg 5 2014,15.0,0.0,0.0,3.0,15.0
thg 5 2015,20.0,0.0,0.0,3.0,20.0
thg 5 2016,22.0,0.0,0.0,5.0,21.0
thg 5 2017,34.0,0.0,0.0,6.0,26.0
thg 5 2018,50.0,0.0,0.0,7.0,36.0
thg 5 2019,57.0,0.0,0.0,8.0,38.0
thg 5 2020,48.0,0.0,0.0,19.0,62.0
thg 5 2021,32.0,0.0,0.0,17.0,65.0
thg 5 2022,76.0,0.0,0.0,27.0,53.0
thg 5 2023,64.0,0.0,0.0,14.0,79.0
thg 5 2024,63.0,0.0,0.0,14.0,52.0
thg 5 2025,56.0,0.0,0.0,12.0,51.0
thg 6 2004,0.0,0.0,0.0,0.0,0.0
thg 6 2005,0.0,0.0,0.0,0.0,0.0
thg 6 2006,0.0,0.0,0.0,0.0,0.0
thg 6 2007,15.0,0.0,0.0,0.0,0.0
thg 6 2008,11.0,0.0,0.0,0.0,10.0
thg 6 2009,11.0,0.0,0.0,0.0,7.0
thg 6 2010,12.0,0.0,0.0,0.0,0.0
thg 6 2011,11.0,0.0,0.0,2.0,6.0
thg 6 2012,14.0,0.0,0.0,1.0,9.0
thg 6 2013,16.0,0.0,0.0,1.0,9.0
thg 6 2014,12.0,0.0,0.0,2.0,11.0
thg 6 2015,19.0,0.0,0.0,2.0,16.0
thg 6 2016,21.0,0.0,0.0,2.0,19.0
thg 6 2017,39.0,0.0,0.0,2.0,24.0
thg 6 2018,39.0,0.0,0.0,2.0,27.0
thg 6 2019,56.0,0.0,0.0,2.0,38.0
thg 6 2020,71.0,0.0,0.0,23.0,53.0
thg 6 2021,15.0,0.0,0.0,5.0,61.0
thg 6 2022,72.0,0.0,0.0,7.0,58.0
thg 6 2023,59.0,0.0,0.0,5.0,76.0
thg 6 2024,47.0,0.0,0.0,5.0,51.0
thg 6 2025,41.0,0.0,0.0,7.0,46.0
thg 7 2004,0.0,0.0,0.0,0.0,0.0
thg 7 2005,0.0,0.0,0.0,0.0,0.0
thg 7 2006,0.0,0.0,0.0,0.0,0.0
thg 7 2007,16.0,0.0,0.0,0.0,0.0
thg 7 2008,9.0,0.0,0.0,0.0,0.0
thg 7 2009,10.0,0.0,0.0,0.0,7.0
thg 7 2010,7.0,0.0,0.0,0.0,5.0
thg 7 2011,11.0,0.0,0.0,1.0,5.0
thg 7 2012,15.0,0.0,0.0,2.0,8.0
