date,Rau má,Vàm Sát,Thung lũng Mai Châu,Nam Cát Tiên,"Nhà trưng bày hiện vật, cổ vật văn hoá Thái"
thg 1 2004,0.0,0.0,0.0,0.0,0.0
thg 1 2005,0.0,0.0,0.0,0.0,0.0
thg 1 2006,0.0,0.0,0.0,0.0,0.0
thg 1 2007,0.0,0.0,0.0,0.0,0.0
thg 1 2008,0.0,0.0,0.0,0.0,0.0
thg 1 2009,0.0,0.0,0.0,9.0,0.0
thg 1 2010,2.5,0.0,0.0,0.0,0.0
thg 1 2011,1.5,0.0,0.0,0.0,0.0
thg 1 2012,3.0,0.0,0.0,2.0,0.0
thg 1 2013,5.5,0.0,0.0,2.0,0.0
thg 1 2014,5.0,0.0,0.0,2.0,0.0
thg 1 2015,8.0,0.0,0.0,3.0,0.0
thg 1 2016,10.5,0.0,0.0,2.0,0.0
thg 1 2017,12.666666666666666,0.0,0.0,2.0,0.0
thg 1 2018,25.0,0.0,0.0,3.0,0.0
thg 1 2019,24.0,0.0,0.0,4.0,0.0
thg 1 2020,29.333333333333332,0.0,0.0,5.0,0.0
thg 1 2021,43.0,0.0,0.0,5.0,0.0
thg 1 2022,39.666666666666664,0.0,0.0,7.0,0.0
thg 1 2023,39.0,0.0,0.0,5.0,0.0
thg 1 2024,44.666666666666664,0.0,0.0,7.0,0.0
thg 1 2025,34.0,0.0,0.0,11.0,0.0
thg 10 2004,0.0,0.0,0.0,0.0,0.0
thg 10 2005,0.0,0.0,0.0,0.0,0.0
thg 10 2006,0.0,0.0,0.0,0.0,0.0
thg 10 2007,0.0,0.0,0.0,0.0,0.0
thg 10 2008,0.0,0.0,0.0,0.0,0.0
thg 10 2009,0.0,0.0,0.0,0.0,0.0
thg 10 2010,0.0,0.0,0.0,0.0,0.0
thg 10 2011,4.0,0.0,0.0,2.0,0.0
thg 10 2012,10.0,0.0,0.0,2.0,0.0
thg 10 2013,7.5,0.0,0.0,3.0,0.0
thg 10 2014,9.0,0.0,0.0,2.0,0.0
thg 10 2015,13.666666666666666,0.0,0.0,3.0,0.0
thg 10 2016,15.5,0.0,0.0,3.0,0.0
thg 10 2017,21.0,0.0,0.0,3.0,0.0
thg 10 2018,28.333333333333332,0.0,0.0,3.0,0.0
thg 10 2019,33.666666666666664,0.0,0.0,4.0,0.0
thg 10 2020,41.333333333333336,0.0,0.0,4.0,0.0
thg 10 2021,41.0,0.0,0.0,3.0,0.0
thg 10 2022,45.0,0.0,0.0,5.0,0.0
thg 10 2023,50.666666666666664,0.0,0.0,9.0,0.0
thg 10 2024,45.5,0.0,0.0,14.0,0.0
thg 10 2025,51.666666666666664,0.0,0.0,15.0,0.0
thg 11 2004,0.0,0.0,0.0,0.0,0.0
thg 11 2005,0.0,0.0,0.0,0.0,0.0
thg 11 2006,0.0,0.0,0.0,0.0,0.0
thg 11 2007,0.0,0.0,0.0,15.0,0.0
thg 11 2008,0.0,0.0,0.0,0.0,0.0
thg 11 2009,2.6666666666666665,0.0,0.0,0.0,0.0
thg 11 2010,0.0,0.0,0.0,4.0,0.0
thg 11 2011,5.0,0.0,0.0,3.0,0.0
thg 11 2012,8.0,0.0,0.0,2.0,0.0
thg 11 2013,7.5,0.0,0.0,2.0,0.0
thg 11 2014,9.5,0.0,0.0,3.0,0.0
thg 11 2015,12.0,0.0,0.0,4.0,0.0
thg 11 2016,14.333333333333334,0.0,0.0,3.0,0.0
thg 11 2017,25.666666666666668,0.0,0.0,3.0,0.0
thg 11 2018,25.666666666666668,0.0,0.0,3.0,0.0
thg 11 2019,30.0,0.0,0.0,4.0,0.0
thg 11 2020,47.0,0.0,0.0,5.0,0.0
thg 11 2021,40.0,0.0,0.0,5.0,0.0
thg 11 2022,41.666666666666664,0.0,0.0,6.0,0.0
thg 11 2023,50.333333333333336,0.0,0.0,9.0,0.0
thg 11 2024,49.333333333333336,0.0,0.0,15.0,0.0
thg 11 2025,48.666666666666664,0.0,0.0,11.0,0.0
thg 12 2004,0.0,0.0,0.0,0.0,0.0
thg 12 2005,0.0,0.0,0.0,0.0,0.0
thg 12 2006,0.0,0.0,0.0,0.0,0.0
thg 12 2007,0.0,0.0,0.0,0.0,0.0
thg 12 2008,0.0,0.0,0.0,0.0,0.0
thg 12 2009,2.3333333333333335,0.0,0.0,0.0,0.0
thg 12 2010,2.6666666666666665,0.0,0.0,0.0,0.0
thg 12 2011,3.5,0.0,0.0,2.0,0.0
thg 12 2012,6.5,0.0,0.0,2.0,0.0
thg 12 2013,7.0,0.0,0.0,3.0,0.0
thg 12 2014,8.5,0.0,0.0,3.0,0.0
thg 12 2015,13.666666666666666,0.0,0.0,4.0,0.0
thg 12 2016,13.666666666666666,0.0,0.0,3.0,0.0
thg 12 2017,25.666666666666668,0.0,0.0,4.0,0.0
thg 12 2018,24.0,0.0,0.0,4.0,0.0
thg 12 2019,28.5,0.0,0.0,4.0,0.0
thg 12 2020,45.666666666666664,0.0,0.0,6.0,0.0
thg 12 2021,39.0,0.0,0.0,6.0,0.0
thg 12 2022,39.666666666666664,0.0,0.0,6.0,0.0
thg 12 2023,44.0,0.0,0.0,9.0,0.0
thg 12 2024,43.333333333333336,0.0,0.0,12.0,0.0
thg 12 2025,51.0,0.0,0.0,11.0,0.0
thg 2 2004,0.0,0.0,0.0,0.0,0.0
thg 2 2005,0.0,0.0,0.0,0.0,0.0
thg 2 2006,0.0,0.0,0.0,0.0,0.0
thg 2 2007,0.0,0.0,0.0,0.0,0.0
