date,Cù lao Chàm,Phá Tam Giang,Rau má,Sông Hương,Động Thiên Đường
thg 1 2004,0.0,0.0,0.0,0.0,0.0
thg 1 2005,0.0,0.0,0.0,0.0,0.0
thg 1 2006,0.0,0.0,0.0,0.0,0.0
thg 1 2007,0.0,0.0,0.0,0.0,0.0
thg 1 2008,0.0,0.0,0.0,30.0,0.0
thg 1 2009,0.0,0.0,0.0,28.0,0.0
thg 1 2010,0.0,0.0,5.0,20.0,0.0
thg 1 2011,2.0,0.0,3.0,13.0,0.0
thg 1 2012,1.0,1.0,3.0,12.0,1.0
thg 1 2013,2.0,1.0,7.0,14.0,1.0
thg 1 2014,2.0,1.0,6.0,18.0,1.0
thg 1 2015,3.0,1.0,10.0,21.0,2.0
thg 1 2016,5.0,1.0,13.0,25.0,2.0
thg 1 2017,4.0,1.0,14.0,25.0,1.0
thg 1 2018,4.0,1.0,29.0,31.0,2.0
thg 1 2019,4.0,1.0,27.0,34.0,2.0
thg 1 2020,5.0,1.0,32.0,19.0,2.0
thg 1 2021,2.0,2.0,47.0,40.0,4.0
thg 1 2022,3.0,1.0,43.0,69.0,14.0
thg 1 2023,3.0,1.0,43.0,45.0,6.0
thg 1 2024,3.0,2.0,48.0,49.0,6.0
thg 1 2025,5.0,4.0,40.0,27.0,6.0
thg 10 2004,0.0,0.0,0.0,0.0,0.0
thg 10 2005,0.0,0.0,0.0,0.0,0.0
thg 10 2006,0.0,0.0,0.0,35.0,0.0
thg 10 2007,0.0,0.0,0.0,25.0,0.0
thg 10 2008,0.0,0.0,0.0,21.0,0.0
thg 10 2009,0.0,0.0,0.0,18.0,0.0
thg 10 2010,0.0,0.0,0.0,16.0,0.0
thg 10 2011,2.0,2.0,5.0,12.0,1.0
thg 10 2012,3.0,1.0,11.0,13.0,1.0
thg 10 2013,4.0,2.0,9.0,18.0,1.0
thg 10 2014,4.0,1.0,11.0,17.0,2.0
thg 10 2015,6.0,2.0,15.0,20.0,2.0
thg 10 2016,7.0,2.0,19.0,20.0,2.0
thg 10 2017,7.0,1.0,25.0,23.0,2.0
thg 10 2018,7.0,2.0,31.0,25.0,3.0
thg 10 2019,8.0,2.0,37.0,25.0,3.0
thg 10 2020,3.0,1.0,46.0,25.0,3.0
thg 10 2021,2.0,1.0,48.0,32.0,13.0
thg 10 2022,4.0,2.0,50.0,43.0,8.0
thg 10 2023,4.0,4.0,55.0,59.0,10.0
thg 10 2024,5.0,2.0,52.0,92.0,11.0
thg 10 2025,4.0,3.0,56.0,90.0,12.0
thg 11 2004,0.0,0.0,0.0,0.0,0.0
thg 11 2005,0.0,0.0,0.0,0.0,0.0
thg 11 2006,0.0,0.0,0.0,37.0,0.0
thg 11 2007,13.0,0.0,0.0,28.0,0.0
thg 11 2008,0.0,0.0,0.0,27.0,0.0
thg 11 2009,0.0,0.0,0.0,23.0,0.0
thg 11 2010,0.0,0.0,0.0,15.0,0.0
thg 11 2011,2.0,2.0,6.0,10.0,2.0
thg 11 2012,2.0,2.0,10.0,14.0,1.0
thg 11 2013,3.0,2.0,9.0,16.0,1.0
thg 11 2014,4.0,2.0,11.0,18.0,1.0
thg 11 2015,6.0,2.0,14.0,18.0,1.0
thg 11 2016,5.0,1.0,16.0,18.0,2.0
thg 11 2017,4.0,2.0,28.0,25.0,2.0
thg 11 2018,6.0,2.0,28.0,25.0,2.0
thg 11 2019,5.0,2.0,33.0,21.0,3.0
thg 11 2020,4.0,1.0,54.0,27.0,4.0
thg 11 2021,2.0,1.0,44.0,49.0,17.0
thg 11 2022,3.0,2.0,46.0,42.0,8.0
thg 11 2023,3.0,5.0,55.0,39.0,7.0
thg 11 2024,4.0,2.0,51.0,46.0,8.0
thg 11 2025,4.0,2.0,54.0,43.0,11.0
thg 12 2004,0.0,0.0,0.0,0.0,0.0
thg 12 2005,0.0,0.0,0.0,0.0,0.0
thg 12 2006,0.0,0.0,0.0,0.0,0.0
thg 12 2007,0.0,0.0,0.0,20.0,0.0
thg 12 2008,0.0,0.0,0.0,21.0,0.0
thg 12 2009,0.0,0.0,5.0,19.0,0.0
thg 12 2010,0.0,0.0,0.0,13.0,0.0
thg 12 2011,4.0,1.0,4.0,13.0,1.0
thg 12 2012,3.0,1.0,7.0,16.0,1.0
thg 12 2013,2.0,1.0,8.0,19.0,2.0
thg 12 2014,3.0,1.0,10.0,22.0,2.0
thg 12 2015,5.0,2.0,15.0,25.0,2.0
thg 12 2016,4.0,1.0,15.0,26.0,1.0
thg 12 2017,5.0,1.0,28.0,40.0,2.0
thg 12 2018,4.0,1.0,27.0,41.0,3.0
thg 12 2019,5.0,1.0,34.0,24.0,3.0
thg 12 2020,3.0,1.0,50.0,50.0,4.0
thg 12 2021,4.0,1.0,41.0,92.0,13.0
thg 12 2022,3.0,2.0,45.0,81.0,10.0
thg 12 2023,4.0,3.0,51.0,68.0,9.0
thg 12 2024,5.0,4.0,47.0,42.0,10.0
thg 12 2025,3.0,1.0,55.0,34.0,9.0
thg 2 2004,0.0,0.0,0.0,0.0,0.0
thg 2 2005,0.0,0.0,0.0,0.0,0.0
thg 2 2006,0.0,0.0,0.0,0.0,0.0
thg 2 2007,0.0,0.0,0.0,32.0,0.0
thg 2 2008,0.0,0.0,0.0,22.0,0.0
thg 2 2009,0.0,0.0,9.0,22.0,0.0
thg 2 2010,0.0,0.0,0.0,19.0,0.0
thg 2 2011,3.0,2.0,4.0,11.0,0.0
thg 2 2012,2.0,1.0,7.0,14.0,2.0
