date,Ba Vì,Nhà thờ dòng chúa Cứu Thế,Rau má,Việt phủ Thành Chương,suối nước khoáng nóng Thanh Tân
thg 1 2004,0.0,0.0,0.0,0.0,0.0
thg 1 2005,0.0,0.0,0.0,0.0,0.0
thg 1 2006,0.0,0.0,0.0,0.0,0.0
thg 1 2007,0.0,0.0,0.0,0.0,0.0
thg 1 2008,4.0,0.0,0.0,4.0,0.0
thg 1 2009,0.0,0.0,0.0,0.0,0.0
thg 1 2010,4.0,0.0,1.0,0.0,0.0
thg 1 2011,3.0,0.0,1.0,0.0,0.0
thg 1 2012,2.0,0.0,1.0,0.0,0.0
thg 1 2013,4.0,0.0,2.0,0.0,0.0
thg 1 2014,4.0,0.0,2.0,0.0,0.0
thg 1 2015,5.0,0.0,3.0,0.0,0.0
thg 1 2016,10.0,0.0,4.0,0.0,0.0
thg 1 2017,9.0,0.0,4.0,0.0,0.0
thg 1 2018,11.0,0.0,9.0,0.0,0.0
thg 1 2019,11.0,0.0,8.0,0.0,0.0
thg 1 2020,13.0,0.0,10.0,0.0,0.0
thg 1 2021,17.0,0.0,14.0,0.0,0.0
thg 1 2022,33.0,0.0,13.0,1.0,0.0
thg 1 2023,18.0,0.0,12.0,1.0,0.0
thg 1 2024,19.0,0.0,15.0,1.0,0.0
thg 1 2025,18.0,0.0,12.0,1.0,0.0
thg 10 2004,0.0,0.0,0.0,0.0,0.0
thg 10 2005,0.0,0.0,0.0,0.0,0.0
thg 10 2006,0.0,0.0,0.0,0.0,0.0
thg 10 2007,0.0,0.0,0.0,0.0,0.0
thg 10 2008,4.0,0.0,0.0,0.0,0.0
thg 10 2009,4.0,0.0,0.0,0.0,0.0
thg 10 2010,4.0,0.0,0.0,0.0,0.0
thg 10 2011,4.0,0.0,1.0,0.0,0.0
thg 10 2012,6.0,0.0,3.0,0.0,0.0
thg 10 2013,6.0,0.0,3.0,0.0,0.0
thg 10 2014,8.0,0.0,3.0,0.0,0.0
thg 10 2015,12.0,0.0,5.0,0.0,0.0
thg 10 2016,16.0,0.0,5.0,0.0,0.0
thg 10 2017,14.0,0.0,7.0,0.0,0.0
thg 10 2018,18.0,0.0,9.0,1.0,0.0
thg 10 2019,20.0,0.0,11.0,0.0,0.0
thg 10 2020,19.0,0.0,14.0,0.0,0.0
thg 10 2021,23.0,0.0,14.0,0.0,0.0
thg 10 2022,28.0,0.0,15.0,1.0,0.0
thg 10 2023,27.0,0.0,16.0,1.0,0.0
thg 10 2024,24.0,0.0,15.0,1.0,0.0
thg 10 2025,23.0,0.0,17.0,1.0,0.0
thg 11 2004,0.0,0.0,0.0,0.0,0.0
thg 11 2005,0.0,0.0,0.0,0.0,0.0
thg 11 2006,0.0,0.0,0.0,0.0,0.0
thg 11 2007,0.0,0.0,0.0,0.0,0.0
thg 11 2008,3.0,0.0,0.0,0.0,0.0
thg 11 2009,3.0,0.0,2.0,0.0,0.0
thg 11 2010,5.0,0.0,0.0,0.0,0.0
thg 11 2011,4.0,0.0,2.0,0.0,0.0
thg 11 2012,5.0,0.0,3.0,0.0,0.0
thg 11 2013,7.0,0.0,3.0,0.0,0.0
thg 11 2014,7.0,0.0,3.0,0.0,0.0
thg 11 2015,15.0,0.0,4.0,0.0,0.0
thg 11 2016,16.0,0.0,5.0,0.0,0.0
thg 11 2017,18.0,0.0,8.0,0.0,0.0
thg 11 2018,20.0,0.0,8.0,1.0,0.0
thg 11 2019,18.0,0.0,10.0,0.0,0.0
thg 11 2020,22.0,0.0,16.0,0.0,0.0
thg 11 2021,35.0,0.0,13.0,1.0,0.0
thg 11 2022,31.0,0.0,14.0,1.0,0.0
thg 11 2023,27.0,0.0,17.0,1.0,0.0
thg 11 2024,27.0,0.0,15.0,1.0,0.0
thg 11 2025,29.0,0.0,16.0,1.0,0.0
thg 12 2004,0.0,0.0,0.0,0.0,0.0
thg 12 2005,0.0,0.0,0.0,0.0,0.0
thg 12 2006,0.0,0.0,0.0,0.0,0.0
thg 12 2007,0.0,0.0,0.0,0.0,0.0
thg 12 2008,3.0,0.0,0.0,0.0,0.0
thg 12 2009,5.0,0.0,0.0,0.0,0.0
thg 12 2010,3.0,0.0,1.0,0.0,0.0
thg 12 2011,4.0,0.0,1.0,0.0,0.0
thg 12 2012,5.0,0.0,2.0,0.0,0.0
thg 12 2013,6.0,0.0,2.0,0.0,0.0
thg 12 2014,6.0,0.0,3.0,0.0,0.0
thg 12 2015,11.0,0.0,4.0,0.0,0.0
thg 12 2016,11.0,0.0,4.0,0.0,0.0
thg 12 2017,14.0,0.0,8.0,0.0,0.0
thg 12 2018,15.0,0.0,8.0,2.0,0.0
thg 12 2019,15.0,0.0,10.0,0.0,0.0
thg 12 2020,19.0,0.0,14.0,0.0,0.0
thg 12 2021,35.0,0.0,12.0,1.0,0.0
thg 12 2022,25.0,0.0,13.0,1.0,0.0
thg 12 2023,24.0,0.0,15.0,1.0,0.0
thg 12 2024,24.0,0.0,14.0,1.0,0.0
thg 12 2025,25.0,0.0,16.0,1.0,0.0
thg 2 2004,0.0,0.0,0.0,0.0,0.0
thg 2 2005,0.0,0.0,0.0,0.0,0.0
thg 2 2006,0.0,0.0,0.0,0.0,0.0
thg 2 2007,0.0,0.0,0.0,0.0,0.0
thg 2 2008,0.0,5.0,0.0,0.0,0.0
thg 2 2009,4.0,0.0,3.0,0.0,0.0
thg 2 2010,3.0,0.0,0.0,2.0,0.0
thg 2 2011,5.0,0.0,1.0,1.0,0.0
