date,Rau má,Tháp Bà Ponagar,Vịnh Nha Trang,Vịnh Vân Phong,Động Thiên Hà
thg 1 2004,0.0,0.0,0.0,0.0,0.0
thg 1 2005,0.0,0.0,0.0,0.0,0.0
thg 1 2006,0.0,0.0,0.0,0.0,0.0
thg 1 2007,0.0,0.0,0.0,0.0,0.0
thg 1 2008,0.0,0.0,0.0,0.0,0.0
thg 1 2009,0.0,0.0,0.0,0.0,0.0
thg 1 2010,3.0,0.0,0.0,0.0,0.0
thg 1 2011,2.0,0.0,0.0,0.0,0.0
thg 1 2012,2.0,0.0,0.0,0.0,1.0
thg 1 2013,4.0,1.0,1.0,0.0,0.0
thg 1 2014,4.0,1.0,0.0,0.0,0.0
thg 1 2015,7.0,1.0,3.0,0.0,0.0
thg 1 2016,9.0,1.0,1.0,0.0,0.0
thg 1 2017,9.0,1.0,1.0,0.0,0.0
thg 1 2018,20.0,1.0,1.0,1.0,0.0
thg 1 2019,18.0,1.0,1.0,1.0,0.0
thg 1 2020,22.0,1.0,1.0,0.0,0.0
thg 1 2021,32.0,1.0,1.0,1.0,1.0
thg 1 2022,29.0,1.0,1.0,1.0,3.0
thg 1 2023,29.0,2.0,1.0,1.0,1.0
thg 1 2024,33.0,2.0,2.0,1.0,2.0
thg 1 2025,27.0,2.0,2.0,3.0,2.0
thg 10 2004,0.0,0.0,0.0,0.0,0.0
thg 10 2005,0.0,0.0,0.0,0.0,0.0
thg 10 2006,0.0,0.0,0.0,0.0,0.0
thg 10 2007,0.0,0.0,0.0,0.0,0.0
thg 10 2008,0.0,0.0,0.0,0.0,0.0
thg 10 2009,0.0,0.0,0.0,0.0,0.0
thg 10 2010,0.0,0.0,0.0,0.0,0.0
thg 10 2011,4.0,1.0,1.0,1.0,1.0
thg 10 2012,7.0,1.0,1.0,0.0,1.0
thg 10 2013,6.0,1.0,1.0,1.0,0.0
thg 10 2014,7.0,1.0,1.0,0.0,0.0
thg 10 2015,10.0,1.0,1.0,1.0,1.0
thg 10 2016,12.0,1.0,1.0,1.0,0.0
thg 10 2017,17.0,1.0,1.0,1.0,0.0
thg 10 2018,21.0,1.0,1.0,1.0,1.0
thg 10 2019,25.0,1.0,1.0,1.0,0.0
thg 10 2020,31.0,1.0,1.0,1.0,1.0
thg 10 2021,32.0,1.0,1.0,2.0,3.0
thg 10 2022,34.0,2.0,1.0,2.0,2.0
thg 10 2023,37.0,3.0,1.0,2.0,2.0
thg 10 2024,35.0,2.0,2.0,1.0,2.0
thg 10 2025,38.0,2.0,1.0,1.0,2.0
thg 11 2004,0.0,0.0,0.0,0.0,0.0
thg 11 2005,0.0,0.0,0.0,0.0,0.0
thg 11 2006,0.0,0.0,0.0,0.0,0.0
thg 11 2007,0.0,0.0,0.0,0.0,0.0
thg 11 2008,0.0,0.0,0.0,0.0,0.0
thg 11 2009,0.0,0.0,0.0,0.0,0.0
thg 11 2010,0.0,0.0,3.0,0.0,0.0
thg 11 2011,4.0,0.0,1.0,0.0,0.0
thg 11 2012,6.0,0.0,0.0,0.0,0.0
thg 11 2013,6.0,1.0,1.0,0.0,0.0
thg 11 2014,7.0,1.0,1.0,0.0,0.0
thg 11 2015,9.0,1.0,1.0,0.0,0.0
thg 11 2016,11.0,1.0,1.0,0.0,0.0
thg 11 2017,19.0,1.0,1.0,1.0,0.0
thg 11 2018,19.0,1.0,1.0,1.0,0.0
thg 11 2019,22.0,1.0,1.0,1.0,1.0
thg 11 2020,36.0,1.0,1.0,1.0,1.0
thg 11 2021,29.0,1.0,1.0,1.0,4.0
thg 11 2022,31.0,2.0,1.0,1.0,2.0
thg 11 2023,37.0,2.0,1.0,1.0,1.0
thg 11 2024,35.0,3.0,1.0,1.0,2.0
thg 11 2025,36.0,2.0,1.0,1.0,3.0
thg 12 2004,0.0,0.0,0.0,0.0,0.0
thg 12 2005,0.0,0.0,0.0,0.0,0.0
thg 12 2006,0.0,0.0,0.0,0.0,0.0
thg 12 2007,0.0,0.0,0.0,0.0,0.0
thg 12 2008,0.0,0.0,0.0,0.0,0.0
thg 12 2009,3.0,0.0,0.0,0.0,0.0
thg 12 2010,0.0,0.0,2.0,0.0,0.0
thg 12 2011,2.0,1.0,1.0,1.0,1.0
thg 12 2012,5.0,0.0,1.0,0.0,0.0
thg 12 2013,5.0,1.0,1.0,1.0,0.0
thg 12 2014,7.0,1.0,2.0,0.0,0.0
thg 12 2015,10.0,1.0,1.0,1.0,0.0
thg 12 2016,10.0,1.0,1.0,0.0,0.0
thg 12 2017,19.0,1.0,1.0,1.0,1.0
thg 12 2018,18.0,1.0,1.0,1.0,1.0
thg 12 2019,23.0,1.0,1.0,1.0,1.0
thg 12 2020,34.0,1.0,1.0,1.0,1.0
thg 12 2021,28.0,1.0,1.0,1.0,4.0
thg 12 2022,30.0,2.0,1.0,1.0,2.0
thg 12 2023,34.0,2.0,1.0,1.0,2.0
thg 12 2024,32.0,3.0,1.0,1.0,3.0
thg 12 2025,37.0,2.0,1.0,0.0,2.0
thg 2 2004,0.0,0.0,0.0,0.0,0.0
thg 2 2005,0.0,0.0,0.0,0.0,100.0
thg 2 2006,0.0,0.0,0.0,0.0,0.0
thg 2 2007,0.0,0.0,0.0,0.0,0.0
thg 2 2008,0.0,0.0,0.0,0.0,0.0
thg 2 2009,6.0,0.0,0.0,0.0,0.0
thg 2 2010,0.0,0.0,0.0,0.0,0.0
thg 2 2011,3.0,0.0,0.0,0.0,0.0
