date,Chùa Keo,Mũi Né,Non Nước,Rau má,Đồi Sứ
thg 1 2004,0.0,0.0,0.0,0.0,0.0
thg 1 2005,0.0,0.0,0.0,0.0,0.0
thg 1 2006,0.0,0.0,0.0,0.0,0.0
thg 1 2007,0.0,20.0,0.0,0.0,0.0
thg 1 2008,0.0,16.0,0.0,0.0,0.0
thg 1 2009,0.0,9.0,7.0,0.0,0.0
thg 1 2010,0.0,8.0,7.0,3.0,0.0
thg 1 2011,0.0,6.0,5.0,2.0,0.0
thg 1 2012,1.0,6.0,5.0,2.0,0.0
thg 1 2013,1.0,7.0,8.0,4.0,0.0
thg 1 2014,1.0,7.0,8.0,4.0,0.0
thg 1 2015,1.0,10.0,9.0,7.0,0.0
thg 1 2016,1.0,13.0,10.0,9.0,0.0
thg 1 2017,2.0,19.0,11.0,9.0,0.0
thg 1 2018,1.0,18.0,15.0,20.0,0.0
thg 1 2019,1.0,22.0,15.0,18.0,0.0
thg 1 2020,6.0,30.0,14.0,22.0,0.0
thg 1 2021,1.0,23.0,18.0,32.0,0.0
thg 1 2022,2.0,25.0,33.0,30.0,0.0
thg 1 2023,3.0,36.0,20.0,29.0,0.0
thg 1 2024,2.0,29.0,21.0,33.0,0.0
thg 1 2025,5.0,34.0,21.0,27.0,0.0
thg 10 2004,0.0,0.0,0.0,0.0,0.0
thg 10 2005,0.0,0.0,0.0,0.0,0.0
thg 10 2006,0.0,0.0,0.0,0.0,0.0
thg 10 2007,0.0,0.0,8.0,0.0,0.0
thg 10 2008,0.0,11.0,10.0,0.0,0.0
thg 10 2009,0.0,8.0,6.0,0.0,0.0
thg 10 2010,0.0,6.0,6.0,0.0,0.0
thg 10 2011,0.0,6.0,6.0,3.0,0.0
thg 10 2012,1.0,7.0,7.0,7.0,0.0
thg 10 2013,1.0,8.0,8.0,6.0,0.0
thg 10 2014,1.0,9.0,12.0,7.0,0.0
thg 10 2015,2.0,12.0,13.0,10.0,0.0
thg 10 2016,2.0,14.0,14.0,12.0,0.0
thg 10 2017,2.0,20.0,17.0,17.0,0.0
thg 10 2018,3.0,21.0,20.0,21.0,0.0
thg 10 2019,3.0,22.0,20.0,25.0,0.0
thg 10 2020,2.0,23.0,19.0,31.0,0.0
thg 10 2021,3.0,9.0,26.0,32.0,0.0
thg 10 2022,4.0,30.0,27.0,35.0,0.0
thg 10 2023,5.0,27.0,24.0,37.0,0.0
thg 10 2024,5.0,32.0,27.0,35.0,0.0
thg 10 2025,3.0,32.0,27.0,39.0,0.0
thg 11 2004,0.0,0.0,0.0,0.0,0.0
thg 11 2005,0.0,0.0,0.0,0.0,0.0
thg 11 2006,0.0,0.0,0.0,0.0,0.0
thg 11 2007,0.0,9.0,10.0,0.0,0.0
thg 11 2008,0.0,12.0,8.0,0.0,0.0
thg 11 2009,0.0,7.0,6.0,4.0,0.0
thg 11 2010,0.0,6.0,3.0,0.0,0.0
thg 11 2011,1.0,7.0,6.0,4.0,0.0
thg 11 2012,1.0,6.0,8.0,6.0,0.0
thg 11 2013,1.0,8.0,11.0,6.0,0.0
thg 11 2014,1.0,8.0,11.0,8.0,0.0
thg 11 2015,1.0,14.0,13.0,10.0,0.0
thg 11 2016,1.0,15.0,14.0,11.0,0.0
thg 11 2017,2.0,19.0,18.0,19.0,0.0
thg 11 2018,1.0,19.0,23.0,19.0,0.0
thg 11 2019,1.0,21.0,19.0,22.0,0.0
thg 11 2020,1.0,23.0,20.0,36.0,0.0
thg 11 2021,2.0,9.0,31.0,29.0,0.0
thg 11 2022,1.0,22.0,27.0,32.0,0.0
thg 11 2023,2.0,29.0,25.0,38.0,0.0
thg 11 2024,2.0,32.0,26.0,35.0,0.0
thg 11 2025,4.0,33.0,27.0,36.0,0.0
thg 12 2004,0.0,0.0,0.0,0.0,0.0
thg 12 2005,0.0,0.0,0.0,0.0,0.0
thg 12 2006,0.0,0.0,0.0,0.0,0.0
thg 12 2007,0.0,11.0,10.0,0.0,0.0
thg 12 2008,0.0,5.0,10.0,0.0,0.0
thg 12 2009,0.0,6.0,7.0,0.0,0.0
thg 12 2010,0.0,7.0,4.0,2.0,0.0
thg 12 2011,1.0,7.0,6.0,2.0,0.0
thg 12 2012,1.0,8.0,7.0,5.0,0.0
thg 12 2013,0.0,8.0,9.0,6.0,0.0
thg 12 2014,1.0,10.0,10.0,7.0,0.0
thg 12 2015,1.0,16.0,12.0,10.0,0.0
thg 12 2016,1.0,15.0,13.0,10.0,0.0
thg 12 2017,1.0,22.0,16.0,19.0,0.0
thg 12 2018,1.0,23.0,16.0,18.0,0.0
thg 12 2019,1.0,21.0,15.0,23.0,0.0
thg 12 2020,2.0,24.0,19.0,33.0,0.0
thg 12 2021,2.0,15.0,37.0,28.0,0.0
thg 12 2022,2.0,26.0,26.0,30.0,0.0
thg 12 2023,2.0,32.0,24.0,35.0,0.0
thg 12 2024,2.0,34.0,26.0,33.0,0.0
thg 12 2025,3.0,34.0,26.0,38.0,0.0
thg 2 2004,0.0,0.0,0.0,0.0,0.0
thg 2 2005,0.0,0.0,0.0,0.0,0.0
thg 2 2006,0.0,0.0,0.0,0.0,0.0
thg 2 2007,0.0,25.0,0.0,0.0,0.0
thg 2 2008,0.0,16.0,12.0,0.0,0.0
thg 2 2009,0.0,14.0,10.0,7.0,0.0
thg 2 2010,0.0,10.0,6.0,0.0,0.0
thg 2 2011,1.0,11.0,6.0,2.0,0.0
thg 2 2012,2.0,9.0,6.0,4.0,0.0
