Destination,Mean,Median,Max,Min,Std Dev,Non-zero Count,Coverage %
Chợ Trung tâm Ba Chẽ,0.0,0.0,0.0,0.0,0.0,0,0.0
Miếu Ông – Miếu Bà,0.0,0.0,0.0,0.0,0.0,0,0.0
Phố đi bộ Tiên Yên,0.0,0.0,0.0,0.0,0.0,0,0.0
căn cứ địa cách mạng Hải Chi,0.0,0.0,0.0,0.0,0.0,0,0.0
"Văn hóa, Thể thao các dân tộc vùng Đông Bắc",0.0,0.0,0.0,0.0,0.0,0,0.0
Đền thờ Đức ông Hoàng Cần,0.0,0.0,0.0,0.0,0.0,0,0.0
Chợ Tiên Yên,0.09216366464598597,0.0,2.5974025974025974,0.0,0.3903250061575631,10,5.555555555555555
Thác Pạc Sủi,0.0,0.0,0.0,0.0,0.0,0,0.0
Chợ Trung tâm huyện Bình Liêu,0.0,0.0,0.0,0.0,0.0,0,0.0
Chợ Đồng Văn,2.6795093537122114,0.0,11.11111111111111,0.0,3.1298063110611496,88,48.888888888888886
Cột mốc 1317 và cửa khẩu Hoành Mô,0.0,0.0,0.0,0.0,0.0,0,0.0
Đình Lục Nà,0.0,0.0,0.0,0.0,0.0,0,0.0
Bãi tắm Lương Ngọc,0.0,0.0,0.0,0.0,0.0,0,0.0
Thác Khe Tiền,0.0,0.0,0.0,0.0,0.0,0,0.0
Thác Khe Vằn,0.16818280268572666,0.0,26.666666666666668,0.0,1.9951434814685847,3,1.6666666666666667
Thác Sông Moóc,0.0,0.0,0.0,0.0,0.0,0,0.0
Bãi tắm Quảng Hồng,0.0,0.0,0.0,0.0,0.0,0,0.0
Khoáng nóng Địa chất,0.08737209419756464,0.0,2.3255813953488373,0.0,0.410480076221484,8,4.444444444444445
Vũng Đục,0.3454356696074525,0.0,6.666666666666667,0.0,0.8522039480525315,33,18.333333333333332
lịch sử - Văn hóa Đền Cửa Ông,0.0,0.0,0.0,0.0,0.0,0,0.0
Công viên Hà Lan,0.5,0.0,50.0,0.0,4.264312083079689,3,1.6666666666666667
Hồ Khe Chè,0.0,0.0,0.0,0.0,0.0,0,0.0
Làng quê Yên Đức,0.0,0.0,0.0,0.0,0.0,0,0.0
Quảng Ninh Gate,0.6823343566764619,0.0,14.285714285714285,0.0,2.5804633981010747,13,7.222222222222221
Chùa Hồ Thiên,0.7594530918104115,0.0,10.0,0.0,1.3594696229192236,60,33.33333333333333
Chùa Quỳnh Lâm,0.27314918039208513,0.0,6.666666666666667,0.0,0.9170012584003543,21,11.666666666666666
chiến khu Đông Triều - chùa Bắc Mã,0.0,0.0,0.0,0.0,0.0,0,0.0
cách mạng khu mỏ than Mạo Khê,0.0,0.0,0.0,0.0,0.0,0,0.0
Chợ Rừng,3.7426582406107216,3.4482758620689653,16.666666666666664,0.0,3.1370216614157695,143,79.44444444444444
Hưng Học,84.68705838327132,59.629629629629626,380.0,23.076923076923077,60.42698448840529,180,100.0
Đền An Sinh,0.4697547835193351,0.0,6.666666666666667,0.0,1.029475455279593,40,22.22222222222222
Đền Thái,15.694861477177927,11.11111111111111,150.0,0.0,17.39853572881852,176,97.77777777777777
Chùa Yên Mỹ,0.07911205163487309,0.0,2.380952380952381,0.0,0.35454481338293936,9,5.0
Thác Mơ Quảng Ninh,0.03029378218332668,0.0,1.639344262295082,0.0,0.20419141914777597,4,2.2222222222222223
Thác Mơ Tuyên Quang,0.0,0.0,0.0,0.0,0.0,0,0.0
Đền thờ Tiến sỹ Vũ Phi Hổ,0.0,0.0,0.0,0.0,0.0,0,0.0
Đền thờ Vua Lê Thái Tổ,0.0,0.0,0.0,0.0,0.0,0,0.0
Miếu Tiên Công,0.5679312125207185,0.0,6.818181818181819,0.0,1.2935134174108651,34,18.88888888888889
Chùa Yên Giang,1.5705911891723996,0.0,22.22222222222222,0.0,3.169065685831952,65,36.11111111111111
"Đình, chùa Yên Đông",0.0,0.0,0.0,0.0,0.0,0,0.0
Bảo tàng Bạch Đằng,0.008547008547008548,0.0,1.5384615384615385,0.0,0.11467015269229697,1,0.5555555555555556
Hai cây Lim Giếng Rừng,0.014619883040935672,0.0,2.631578947368421,0.0,0.19614631381577105,1,0.5555555555555556
Nhà thờ họ Lê,0.010683760683760684,0.0,1.9230769230769231,0.0,0.14333769086537113,1,0.5555555555555556
Đình Phong Cốc,0.04629629629629629,0.0,8.333333333333332,0.0,0.6211299937499414,1,0.5555555555555556
Khu bảo tồn bản văn hóa người Dao Thanh Y Bằng Cả,0.0,0.0,0.0,0.0,0.0,0,0.0
Thiên đường hoa Quảng La,0.10879629629629631,0.0,10.0,0.0,0.9094261711408541,3,1.6666666666666667
danh lam thắng cảnh Núi Mằn,0.0,0.0,0.0,0.0,0.0,0,0.0
di tích lịch sử Bạch Đằng,0.5144143399862677,0.0,9.090909090909092,0.0,1.2157517510384366,36,20.0
"Đại Yên Plaza, Vụng Cặp Táo",0.0,0.0,0.0,0.0,0.0,0,0.0
Cung Quy hoạch và Hội chợ triển lãm tỉnh Quảng Ninh,0.0,0.0,0.0,0.0,0.0,0,0.0
Vụng Tùng Sâu,0.0,0.0,0.0,0.0,0.0,0,0.0
Chùa Lôi Âm và Hồ Yên Lập,0.0,0.0,0.0,0.0,0.0,0,0.0
Marine Plaza,1.7398562882783324,0.0,16.666666666666664,0.0,2.8202382992720887,66,36.666666666666664
Mỹ Ngọc - Công ty CP Ngọc trai Hạ Long,0.0,0.0,0.0,0.0,0.0,0,0.0
Vincom Hạ Long center,0.05050505050505051,0.0,9.090909090909092,0.0,0.6775963568181184,1,0.5555555555555556
Đền Cái Lân,0.0,0.0,0.0,0.0,0.0,0,0.0
Bảo tàng - Thư viện tỉnh - Quảng trường 30/10,0.0,0.0,0.0,0.0,0.0,0,0.0
Chợ Hạ Long 1,0.08076890148440292,0.0,1.9230769230769231,0.0,0.3385539459693021,10,5.555555555555555
Công viên Hạ Long,4.628534995239381,3.4482758620689653,66.66666666666666,0.0,6.570413475929722,124,68.88888888888889
Nhà thờ Hòn Gai,0.0,0.0,0.0,0.0,0.0,0,0.0
Chùa Ba Vàng,31.201229780202134,18.465909090909093,769.2307692307693,0.0,68.12210307401146,137,76.11111111111111
Chùa Long Tiên,0.0,0.0,0.0,0.0,0.0,0,0.0
Núi Bài Thơ và Đền thờ Đức ông Trần Quốc Nghiễn,0.0,0.0,0.0,0.0,0.0,0,0.0
Thác Lựng Xanh,0.0,0.0,0.0,0.0,0.0,0,0.0
Chùa Phổ Am,0.0,0.0,0.0,0.0,0.0,0,0.0
