row_index,original_name,normalized_name,province,removed_prefix
1,Di tích lịch sử - văn hóa căn cứ địa cách mạng Hải Chi (Đình Làng Dạ),căn cứ địa cách mạng Hải Chi,Quảng Ninh,Di tích lịch sử - văn hóa 
2,Chợ Trung tâm Ba Chẽ,Chợ Trung tâm Ba Chẽ,Quảng Ninh,
3,Di tích lịch sử Miếu Ông – Miếu Bà,Miếu Ông – Miếu Bà,Quảng Ninh,Di tích lịch sử 
4,Phố đi bộ Tiên Yên,Phố đi bộ Tiên Yên,Quảng Ninh,
5,"Trung tâm Văn hóa, Thể thao các dân tộc vùng Đông Bắc","Văn hóa, Thể thao các dân tộc vùng Đông Bắc",Quảng Ninh,Trung tâm 
6,Đền thờ Đức ông Hoàng Cần (Miếu Đại Vương),Đền thờ Đức ông Hoàng Cần,Quảng Ninh,
7,Chợ Tiên Yên,Chợ Tiên Yên,Quảng Ninh,
8,Thác Pạc Sủi,Thác Pạc Sủi,Quảng Ninh,
9,Cột mốc 1317(2) và cửa khẩu Hoành Mô,Cột mốc 1317 và cửa khẩu Hoành Mô,Quảng Ninh,
10,Chợ Đồng Văn,Chợ Đồng Văn,Quảng Ninh,
11,Chợ Trung tâm huyện Bình Liêu,Chợ Trung tâm huyện Bình Liêu,Quảng Ninh,
12,Đình Lục Nà,Đình Lục Nà,Quảng Ninh,
13,Thác Sông Moóc,Thác Sông Moóc,Quảng Ninh,
14,Thác Khe Tiền,Thác Khe Tiền,Quảng Ninh,
15,Thác Khe Vằn,Thác Khe Vằn,Quảng Ninh,
16,Bãi tắm Lương Ngọc,Bãi tắm Lương Ngọc,Quảng Ninh,
17,Bãi tắm Quảng Hồng,Bãi tắm Quảng Hồng,Quảng Ninh,
18,Trung tâm Khoáng nóng Địa chất,Khoáng nóng Địa chất,Quảng Ninh,Trung tâm 
19,Khu di tích lịch sử - Văn hóa Đền Cửa Ông,lịch sử - Văn hóa Đền Cửa Ông,Quảng Ninh,Khu di tích 
20,Khu di tích lịch sử và Danh thắng Vũng Đục,Vũng Đục,Quảng Ninh,Khu di tích lịch sử và Danh thắng 
21,Quảng Ninh Gate,Quảng Ninh Gate,Quảng Ninh,
22,Công viên Hà Lan,Công viên Hà Lan,Quảng Ninh,
23,Hồ Khe Chè,Hồ Khe Chè,Quảng Ninh,
24,Làng quê Yên Đức,Làng quê Yên Đức,Quảng Ninh,
25,Cụm di tích lịch sử cách mạng khu mỏ than Mạo Khê,cách mạng khu mỏ than Mạo Khê,Quảng Ninh,Cụm di tích lịch sử 
26,Trung tâm chiến khu Đông Triều - chùa Bắc Mã,chiến khu Đông Triều - chùa Bắc Mã,Quảng Ninh,Trung tâm 
27,Chùa Hồ Thiên,Chùa Hồ Thiên,Quảng Ninh,
28,Chùa Quỳnh Lâm,Chùa Quỳnh Lâm,Quảng Ninh,
29,Đền Thái,Đền Thái,Quảng Ninh,
30,Đền An Sinh,Đền An Sinh,Quảng Ninh,
31,Chợ Rừng,Chợ Rừng,Quảng Ninh,
32,Làng nghề truyền thống Hưng Học,Hưng Học,Quảng Ninh,Làng nghề truyền thống 
33,Thác Mơ,Thác Mơ Quảng Ninh,Quảng Ninh,
936,Thác Mơ,Thác Mơ Tuyên Quang,Tuyên Quang,
34,Chùa Yên Mỹ,Chùa Yên Mỹ,Quảng Ninh,
35,Đền thờ Tiến sỹ Vũ Phi Hổ,Đền thờ Tiến sỹ Vũ Phi Hổ,Quảng Ninh,
36,Đền thờ Vua Lê Thái Tổ,Đền thờ Vua Lê Thái Tổ,Quảng Ninh,
37,Miếu Tiên Công,Miếu Tiên Công,Quảng Ninh,
38,Chùa Yên Giang,Chùa Yên Giang,Quảng Ninh,
