name;province
Hạ Long Pearl farm;Quảng Ninh
Hạ Long Pearl farm II;Quảng Ninh
Legend Pearl;Quảng Ninh
Trung tâm Mỹ Ngọc;Quảng Ninh
Trung tâm thương mại Vincom Plaza Hạ  Long;Quảng Ninh
Việt Thành;Quảng Ninh
Trung tâm Thương mại Vincom Plaza  Móng Cái;Quảng Ninh
Việt Hưng;Quảng Ninh
Hải Dương Xanh;Quảng Ninh
Việt Nhã;Quảng Ninh
Trung tâm Thương mại Vincom + Uông Bí;Quảng Ninh
Trung tâm Thương mại Vincom Plaza Cẩm  Phả;Quảng Ninh
Sao Việt;Quảng Ninh
Siêu thị Coopmart Hải Phòng;Thành phố Hải Phòng
Nem Lái Thiêu;Bình Dương
Made4Home Center Garden;Bình Dương
Trung tâm mua sắm Nguyễn Kim;Đồng Nai
Nhà Sách Siêu Thị Giá Sỉ;Đồng Nai
MM Mega Market Biên Hòa;Đồng Nai
Chợ An Bình;Thành phố Cần Thơ
Chợ Tân An;Thành phố Cần Thơ
Chợ An Lạc;Thành phố Cần Thơ
Chợ Đầm;Khánh Hoà
Chợ Xóm Mới;Khánh Hoà
Siêu thị Co.op Mart Nha Trang;Khánh Hoà
Công ty Âu Việt - Đặc sản Nha Trang;Khánh Hoà
Siêu thị hải đặc sản Hiền Nhi;Khánh Hoà
Công ty TNHH MTV Thương mại Dịch vụ Diệp Bảo An;Phú Yên
Công ty TNHH sản xuất chế biên & thương mại Hà Trung;Phú Yên
DNTN Thủy sản Hùng Phong;Phú Yên
Siêu Thị New Life;Thanh Hoá
Chợ Hón Hải Tiến;Thanh Hoá
Chợ phiên Phố Đoàn;Thanh Hoá
Siêu thị Coop Mart Cần Giuộc;Tây Ninh
Siêu thị Coop Mart Bến Lức;Tây Ninh
Cửa hàng đặc sản Long An;Tây Ninh
Cơ sở sản xuất bánh tráng trộn Cô Út Long An;Tây Ninh
Siêu thị Đặc Sản Nghệ Tĩnh;Nghệ An
Cửa hàng Đặc Sản Xứ Nghệ Thúy Liễu;Nghệ An
Chợ Bến Thủy;Nghệ An
Cửa hàng HATIMARRT;Hà Tĩnh
Chợ mới thị xã Hồng Lĩnh;Hà Tĩnh
Cơ sở sản xuất kẹo Cu Đơ Phong Nga;Hà Tĩnh
Chợ Sa Nam;Nghệ An
Khoai deo Hải Ninh;Quảng Trị
Siêu thị Thế Anh;Quảng Trị
Công ty TNHH Biển Hạnh Phúc;Quảng Trị
Chợ Ba Đồn - Chợ trung tâm phía Bắc;Quảng Trị
Cửa hàng Đặc sản Quảng Trị;Thành phố Đông Hà
Chợ Diên Sanh;Huyện Hải Lăng
Chợ Khe Sanh;Huyện Hướng Hóa
Trúc Chỉ Garden;Thành phố Huế
Marie's - Cỏ Bàng Xứ Huế;Thành phố Huế
Trà Đình Viên;Thành phố Huế
Chợ An Cựu;Thành phố Huế
Danang Souvenirs & Cafe;Thành phố Đà Nẵng
Siêu Thị Joly Mart Đà Nẵng;Thành phố Đà Nẵng
Siêu thị Danavi Mart;Thành phố Đà Nẵng
Siêu thị Big C Huế;Thành phố Huế
Vườn sim Bảy Gáo;An Giang
Ngọc trai Robinson Phú Quốc;An Giang
The Storytree Vietnam;An Giang
Lotus Jewellery;Quảng Nam
Trung tâm thương mại Thi Phổ Center;Quảng Ngãi
Đặc sản hải sản Lý Sơn Quảng Ngãi (Công ty TNHH MTV HT Sea Tour);Quảng Ngãi
Siêu thị đặc sản Lý Sơn Xanh;Quảng Ngãi
Mộc Kim Bồng;Quảng Nam
Cửa hàng hải sản khô Mận Khoa;Gia Lai
Đặc sản Bình Định Như Ý;Gia Lai
Siêu thị đặc sản Phương Nghi;Gia Lai
Cơ sở bánh gai, bánh gấc Tuyết Nga;Hải Dương
Khu mua sắm Hoàng Gia;Cà Mau
Khu thương mại Cửu Long Plaza Cà Mau;Cà Mau
Khu kinh tế đêm Phú Thiên Kim;Bình Phước
Siêu thị chợ đêm Phước Bình;Bình Phước
Siêu Thị Vinatex Bình Phước;Bình Phước
Siêu thị Coop Mart Tháp Mười;Huyện Tháp Mười
Chợ Đêm Cà Mau;Cà Mau
Cửa hàng Quà Đồng Tháp;Thành phố Cao Lãnh
Làng nghề nem Lai Vung;Huyện Lai Vung
Trung tâm thương mại Vincom Plaza Lê Thánh Tôn - Nha Trang;Khánh Hoà
Trung tâm thương mại Vincom Plaza Cam Ranh;Khánh Hoà
Trung tâm Thương mại Vincom Plaza Thái Nguyên - Nha Trang;Khánh Hoà
Cửa hàng - Công ty TNHH MTV ATC - Trầm hương Khánh Hòa;Khánh Hoà
Trung tâm thương mại Lotte Mart Nha Trang;Khánh Hoà
Siêu thị GO! Nha Trang;Khánh Hoà
Trung tâm thương mại Nha Trang center;Khánh Hoà
Siêu thị Vincom+Phan Rang;Ninh Thuận
Chợ đêm Ninh Thuận;Ninh Thuận
Cửa hàng nho, táo Thái Thuận;Ninh Thuận
Cơ sở sản xuất nước mắm Quang Minh;Ninh Thuận
Cửa hàng rượu nho nguyên chất Pha Lê;Ninh Thuận
Cửa hàng nông sản xanh Thảo Trang;Ninh Thuận
Siêu thị Co.opMart Thanh Hà;Ninh Thuận
Cửa hàng vang nho Viết Nghi;Ninh Thuận
Trạm dừng chân Thiên Thảo;Ninh Thuận
Chợ Phan Rang;Ninh Thuận
Chợ Đầm Nại;Ninh Thuận
Siêu thị Lotte Mart Phan Thiết;Bình Thuận
Doanh nghiệp Tư nhân Ngọc Trai Phan Thiết (Long Beach Pearl);Bình Thuận
Siêu thị Co.opmart Phan Thiết;Bình Thuận
Công ty cổ phần nước mắm Phan Thiết PTFISACO;Bình Thuận
Cơ sở mua sắm FM Style Phan Thiết;Bình Thuận
Cơ sở sản xuất Nước Mắm Hải Thắng;Bình Thuận
Siêu thị GO! Đà Lạt;Lâm Đồng
Chợ Âm Phủ;Lâm Đồng
Siêu thị L'angfarm Store;Lâm Đồng
Tranh thêu tay Hữu Hạnh;Lâm Đồng
Chợ Đà Lạt;Lâm Đồng
Cửa hàng Đồ thêu XQ Đà Lạt Sử Quán;Lâm Đồng
Chợ đêm Pleiku;Thành phố Pleiku
Siêu thị Co.opMart Bảo Lộc;Lâm Đồng
Trung tâm thương mại Vincom Plaza Kon Tum;Kon Tum
Siêu thị Co.opMart Pleiku;Thành phố Pleiku
Siêu thị Co.op Mart Chư Sê;Huyện Chư Sê
Trung tâm thương mại Intimex;Đắc Lắk
Siêu thị Co.opMart Buôn Ma Thuột;Đắc Lắk
Chợ trung tâm Buôn Ma Thuột;Đắc Lắk
Trung tâm thương mại Vincom Buôn Ma Thuột;Đắc Lắk
Siêu thị MM Mega Market Buôn Ma Thuột;Đắc Lắk
Cửa hàng Quà Tặng - Lưu Niệm - Đặc sản Tây Nguyên Minh Tùng;Đắc Lắk
Landmark 72;Thành phố Hà Nội
Rượu cần Y Miên;Đắc Lắk
Siêu thị Co.opmart Đắk Nông;Đắc Nông
Chợ Nhân Cơ;Đắc Nông
Nhà sách-Siêu thị Văn hóa Pleiku;Thành phố Pleiku
Chợ đêm Đồng Xuân;Thành phố Hà Nội
Chợ đêm phố cổ Hà Nội;Thành phố Hà Nội
Trung tâm thương mại Soiva Vĩnh Phúc;Vĩnh Phúc
Ivy Moda Vĩnh Phúc;Vĩnh Phúc
Siêu thị điện máy HC Vĩnh Phúc;Vĩnh Phúc
Siêu thị MediaMart Vĩnh Phúc;Vĩnh Phúc
Trung tâm thương mại tổng hợp tranh đá quý Dũng Tân;Thái Nguyên
Tương nếp Úc Kỳ;Thái Nguyên
Rượu Hồ Lan;Thái Nguyên
Trái cây nhập khẩu EUS FRUIT;Thái Bình
Siêu thị hàng tiêu dùng Nhật Minh;Thái Bình
Siêu thị DOFA;Thái Bình
Siêu thị đặc sản Hòa Yên;Phú Yên
Cửa hàng Yến Sào A Đồng;Phú Yên
Chợ Tuy Hòa;Phú Yên
Trung tâm thương mại Vincom Phú Yên;Phú Yên
Siêu thị Co.opMart Tuy Hoà;Phú Yên
Chợ đêm Sầm Sơn;Thanh Hoá
Chợ hải sản Cô Giang;Bà Rịa - Vũng Tàu
Vựa hải sản Thành Phát;Bà Rịa - Vũng Tàu
Ốc Tự Nhiên;Bà Rịa - Vũng Tàu
Chợ mới;Bà Rịa - Vũng Tàu
Sơn mài mỹ nghệ Thùy Dương;Bà Rịa - Vũng Tàu
Co-op Mart Hồng Ngự;Thị xã Hồng Ngự
Chợ Bến Đá;Bà Rịa - Vũng Tàu
Siêu thị Coop Mart Vũng Tàu;Bà Rịa - Vũng Tàu
Chợ Bến Đình;Bà Rịa - Vũng Tàu
Cửa hàng Yến sào Hoàng Hạc;Bà Rịa - Vũng Tàu
Trung tâm thương mại Lapen Center;Bà Rịa - Vũng Tàu
Chợ nổi Long Xuyên;Thành phố Long Xuyên
Trung tâm thương mại KNG Mall;Bà Rịa - Vũng Tàu
Siêu thị Lotte Mart Vũng Tàu;Bà Rịa - Vũng Tàu
Chợ Tịnh Biên;Huyện Tịnh Biên
TTTM Lam Sơn Square;Bà Rịa - Vũng Tàu
Chợ Xóm Lưới;Bà Rịa - Vũng Tàu
Siêu thị Co.op Mart Bà Rịa;Bà Rịa - Vũng Tàu
Siêu thị Tứ Sơn;Thành phố Châu Đốc
Chợ đêm Vũng Tàu;Bà Rịa - Vũng Tàu
