date,Biển Cổ Thạch,Đồi cát Nam Cương,Hang Rái,Vịnh Vĩnh Hy,Cát Bà
2004-01-01,0,0,0,0,0
2004-02-01,0,0,0,0,0
2004-03-01,0,0,0,0,0
2004-04-01,0,0,0,0,0
2004-05-01,0,0,0,0,0
2004-06-01,0,0,0,0,0
2004-07-01,0,0,0,0,0
2004-08-01,0,0,0,0,0
2004-09-01,0,0,0,0,0
2004-10-01,0,0,0,0,0
2004-11-01,0,0,0,0,0
2004-12-01,0,0,0,0,0
2005-01-01,0,0,0,0,0
2005-02-01,0,0,0,0,0
2005-03-01,0,0,0,0,0
2005-04-01,0,0,0,0,0
2005-05-01,0,0,0,0,0
2005-06-01,0,0,0,0,54
2005-07-01,0,0,0,0,0
2005-08-01,0,0,0,0,0
2005-09-01,0,0,0,0,0
2005-10-01,0,0,0,0,0
2005-11-01,0,0,0,0,0
2005-12-01,0,0,0,0,0
2006-01-01,0,0,0,0,0
2006-02-01,0,0,0,0,0
2006-03-01,0,0,0,0,0
2006-04-01,0,0,0,0,30
2006-05-01,0,0,0,0,0
2006-06-01,0,0,0,0,59
2006-07-01,0,0,0,0,59
2006-08-01,0,0,0,0,0
2006-09-01,0,0,0,0,0
2006-10-01,0,0,0,0,0
2006-11-01,0,0,0,0,0
2006-12-01,0,0,0,0,0
2007-01-01,0,0,0,0,0
2007-02-01,0,0,0,0,0
2007-03-01,0,0,0,0,15
2007-04-01,0,0,0,0,19
2007-05-01,0,0,0,0,33
2007-06-01,0,0,0,0,55
2007-07-01,0,0,0,0,29
2007-08-01,0,0,0,0,30
2007-09-01,0,0,0,0,0
2007-10-01,0,0,0,0,10
2007-11-01,0,0,0,0,0
2007-12-01,0,0,0,0,0
2008-01-01,0,0,0,0,0
2008-02-01,0,0,0,0,13
2008-03-01,0,0,0,0,7
2008-04-01,0,0,0,0,20
2008-05-01,0,0,0,0,14
2008-06-01,0,0,0,0,27
2008-07-01,0,0,0,0,29
2008-08-01,0,0,0,0,16
2008-09-01,0,0,0,0,8
2008-10-01,0,0,0,0,9
2008-11-01,0,0,0,0,0
2008-12-01,0,0,0,0,6
2009-01-01,0,0,0,0,0
2009-02-01,0,0,0,0,7
2009-03-01,0,0,0,0,8
2009-04-01,0,0,0,0,24
2009-05-01,0,0,0,0,15
2009-06-01,0,0,0,0,30
2009-07-01,0,0,0,0,20
2009-08-01,0,0,0,0,11
2009-09-01,0,0,0,0,7
2009-10-01,0,0,0,0,5
2009-11-01,0,0,0,0,4
2009-12-01,0,0,0,0,3
2010-01-01,0,0,0,0,4
2010-02-01,0,0,0,0,5
2010-03-01,0,0,0,0,8
2010-04-01,0,0,0,0,11
2010-05-01,0,0,0,0,14
2010-06-01,0,0,0,0,21
2010-07-01,0,0,0,0,15
2010-08-01,0,0,0,0,9
2010-09-01,0,0,0,0,4
2010-10-01,0,0,0,0,4
2010-11-01,0,0,0,0,3
2010-12-01,0,0,0,0,4
2011-01-01,0,0,0,0,3
2011-02-01,0,0,0,0,3
