date,Ghềnh Ráng Tiên Sa,Suối nước nóng Hội Vân,Bến En,Thành nhà Hồ,Lam Kinh
2004-01-01,0,0,0,0,0
2004-02-01,0,0,0,0,0
2004-03-01,0,0,0,0,0
2004-04-01,0,0,0,0,0
2004-05-01,0,0,0,0,0
2004-06-01,0,0,0,0,0
2004-07-01,0,0,0,0,0
2004-08-01,0,0,0,0,45
2004-09-01,0,0,0,0,0
2004-10-01,0,0,0,0,0
2004-11-01,0,0,0,0,39
2004-12-01,0,0,0,0,0
2005-01-01,0,0,0,0,0
2005-02-01,0,0,0,0,0
2005-03-01,0,0,0,0,0
2005-04-01,0,0,0,0,0
2005-05-01,0,0,0,0,24
2005-06-01,0,0,0,0,0
2005-07-01,0,0,0,0,22
2005-08-01,0,0,0,0,52
2005-09-01,0,0,0,26,27
2005-10-01,0,0,0,0,35
2005-11-01,0,0,0,0,16
2005-12-01,0,0,0,0,29
2006-01-01,0,0,0,0,20
2006-02-01,0,0,0,21,22
2006-03-01,0,0,0,0,32
2006-04-01,0,0,0,0,25
2006-05-01,0,0,0,0,27
2006-06-01,0,0,0,10,15
2006-07-01,0,0,0,0,18
2006-08-01,0,0,0,0,18
2006-09-01,0,0,0,10,22
2006-10-01,0,0,0,15,19
2006-11-01,0,0,0,11,22
2006-12-01,0,0,0,7,12
2007-01-01,0,0,0,0,17
2007-02-01,0,0,0,13,13
2007-03-01,0,0,0,13,18
2007-04-01,0,0,0,7,21
2007-05-01,0,0,0,6,25
2007-06-01,0,0,0,9,27
2007-07-01,0,0,0,9,31
2007-08-01,0,0,0,6,44
2007-09-01,4,0,0,9,37
2007-10-01,0,0,0,9,30
2007-11-01,0,0,0,10,40
2007-12-01,0,0,0,7,39
2008-01-01,0,0,0,7,38
2008-02-01,0,0,0,8,42
2008-03-01,0,0,0,9,57
2008-04-01,0,0,0,7,62
2008-05-01,0,0,0,7,52
2008-06-01,0,0,0,7,56
2008-07-01,0,0,0,7,54
2008-08-01,0,0,0,5,86
2008-09-01,0,0,0,8,59
2008-10-01,0,0,0,6,64
2008-11-01,0,0,0,5,59
2008-12-01,0,0,0,5,58
2009-01-01,0,0,0,4,61
2009-02-01,0,0,0,5,73
2009-03-01,0,0,0,4,96
2009-04-01,0,0,0,4,83
2009-05-01,0,0,0,4,83
2009-06-01,0,0,0,5,74
2009-07-01,0,0,0,5,82
2009-08-01,0,0,0,4,94
2009-09-01,0,0,0,4,91
2009-10-01,0,0,0,5,82
2009-11-01,0,0,0,5,81
2009-12-01,0,0,0,4,76
2010-01-01,0,0,0,4,84
2010-02-01,0,0,0,3,71
2010-03-01,0,0,0,4,100
2010-04-01,0,0,0,4,91
2010-05-01,0,0,0,5,83
2010-06-01,0,0,0,7,73
2010-07-01,0,0,0,4,87
2010-08-01,0,0,0,4,95
2010-09-01,0,0,0,4,89
2010-10-01,0,0,0,4,82
2010-11-01,0,0,0,3,81
2010-12-01,0,0,0,3,75
2011-01-01,0,0,0,3,59
2011-02-01,0,0,0,3,79
