destination,avg_interest,peak_interest,peak_month,min_interest,min_month,seasonality
Vũ Quang,41.78,100,2008-08,0,2004-01,2.394
Xuân Thủy,41.38,100,2025-08,0,2004-01,2.417
Thành phố Hà Nội,38.87,100,2006-04,0,2004-01,2.573
Hang Câu,38.33,100,2008-01,0,2004-01,2.609
Hồ Tây,34.36,100,2025-07,0,2004-01,2.91
Đồng Thông,33.36,100,2024-10,0,2004-01,2.997
Non Nước,32.88,100,2021-12,0,2004-01,3.041
Bình An,32.51,100,2025-07,0,2004-01,3.076
Sơn Trà,30.35,100,2025-07,0,2004-01,3.295
Lam Kinh,30.24,100,2010-03,0,2004-01,3.307
Thành phố Đà Lạt,29.12,100,2022-07,0,2004-01,3.434
Tràng An,29.07,92,2018-03,0,2004-01,3.165
Mũi Cà Mau Cà Mau,28.48,100,2025-03,0,2004-01,3.511
Nhà thờ Đà Lạt,28.27,100,2018-12,0,2004-01,3.537
Sơn Mỹ,28.25,100,2005-09,0,2004-01,3.539
Chợ nổi Cái Răng,26.24,100,2023-03,0,2004-01,3.81
Phú Quốc,24.76,100,2022-06,0,2004-01,4.039
Nhà Mát,24.42,89,2024-04,0,2004-01,3.644
Tam Đảo,23.4,100,2019-07,0,2004-01,4.274
Vườn hoa Đà Lạt,22.95,100,2019-06,0,2004-01,4.357
núi Sập,22.34,100,2023-01,0,2004-01,4.477
Chùa Thiên Mụ,22.25,100,2024-01,0,2004-01,4.493
Chùa Tổ,22.19,100,2025-02,0,2004-01,4.507
Quán Hoa,22.05,100,2006-02,0,2004-01,4.536
Thành Điện Hải,21.98,100,2022-03,0,2004-01,4.549
Hoàng Liên,21.91,97,2022-01,0,2004-01,4.427
Thung lũng Tình yêu,21.83,97,2019-06,0,2004-01,4.443
Mũi Né,21.67,100,2023-06,0,2004-01,4.615
Hồ Tuyền Lâm,21.32,100,2024-06,0,2004-01,4.691
Đồng Mô,21.14,100,2022-03,0,2004-01,4.73
Núi Voi,20.5,93,2021-11,0,2004-01,4.536
Hồ Phú Ninh,20.17,100,2025-07,0,2004-01,4.959
Biển Quy Nhơn,19.79,100,2020-07,0,2004-01,5.052
