File,Rows,Columns,Size_MB
_summary_normalization.csv,24,6,0.0012760162353515625
destinations_statistics.csv,968,8,0.08289432525634766
keyword_mapping_normalized.csv,967,6,0.08301162719726562
tourism_modeling_dataset_2011_2025.csv,6076,20,0.8546886444091797
vietnam_accommodation.csv,11795,1,0.6015291213989258
vietnam_area_population.csv,483,6,0.022790908813476562
vietnam_destinations_normalized.csv,180,969,1.221456527709961
vietnam_entertainment.csv,339,1,0.017127037048339844
vietnam_festivals.csv,142,13,0.018294334411621094
vietnam_grdp_by_province.csv,442,4,0.01774311065673828
vietnam_healthcare.csv,329,1,0.015006065368652344
vietnam_population.csv,69,37,0.022531509399414062
vietnam_regions_with_distances.csv,34,10,0.0036840438842773438
vietnam_restaurants.csv,2151,1,0.10497474670410156
vietnam_seasonal_destinations_strong.csv,117,11,0.016256332397460938
vietnam_shops.csv,597,1,0.0341339111328125
vietnam_weather_monthly_2011_2025.csv,6076,6,0.4013404846191406
vietnam_youtube_province_aggregates.csv,36,5,0.0014934539794921875
vietnam_youtube_province_videos.csv,2999,12,0.7858600616455078
