province_normalized,temp_avg,rainfall,latitude,longitude,date,year,month,year_month,accommodation_count,restaurants_count,entertainment_count,shops_count,healthcare_count,festival_count,video_count,total_views,avg_views,total_likes,avg_likes,video_count_month,total_views_month,avg_views_month,total_likes_month,avg_likes_month,population,grdp_billion_vnd,area_km2,population_density_per_km2,population_avg_thousand,region,distance_to_hanoi_km,distance_to_hcm_km,nearest_city,nearest_distance_km,trends_interest_total,trends_interest_avg,trends_active_destinations
An Giang,25.44193548387097,21.5,10.3188672,105.0432488,2011-01-01,2011,1,2011-01,235.0,53.0,12.0,13.0,8.0,4.0,100,2992780,29927.8,27878,278.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ĐỒNG BẰNG SÔNG CỬU LONG,1194.0,182.2,TP.HCM,1194.0,33.33333333333333,2.3809523809523805,1.0
An Giang,26.939285714285717,2.2,10.3188672,105.0432488,2011-02-01,2011,2,2011-02,235.0,53.0,12.0,13.0,8.0,4.0,100,2992780,29927.8,27878,278.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ĐỒNG BẰNG SÔNG CỬU LONG,1194.0,182.2,TP.HCM,1194.0,766.6666666666666,54.76190476190476,2.0
An Giang,26.67419354838709,166.1,10.3188672,105.0432488,2011-03-01,2011,3,2011-03,235.0,53.0,12.0,13.0,8.0,4.0,100,2992780,29927.8,27878,278.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ĐỒNG BẰNG SÔNG CỬU LONG,1194.0,182.2,TP.HCM,1194.0,725.0,51.785714285714285,2.0
An Giang,27.276666666666664,124.6,10.3188672,105.0432488,2011-04-01,2011,4,2011-04,235.0,53.0,12.0,13.0,8.0,4.0,100,2992780,29927.8,27878,278.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ĐỒNG BẰNG SÔNG CỬU LONG,1194.0,182.2,TP.HCM,1194.0,450.0,32.142857142857146,2.0
An Giang,27.493548387096773,184.1,10.3188672,105.0432488,2011-05-01,2011,5,2011-05,235.0,53.0,12.0,13.0,8.0,4.0,100,2992780,29927.8,27878,278.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ĐỒNG BẰNG SÔNG CỬU LONG,1194.0,182.2,TP.HCM,1194.0,933.3333333333334,66.66666666666667,2.0
An Giang,27.05,205.0,10.3188672,105.0432488,2011-06-01,2011,6,2011-06,235.0,53.0,12.0,13.0,8.0,4.0,100,2992780,29927.8,27878,278.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ĐỒNG BẰNG SÔNG CỬU LONG,1194.0,182.2,TP.HCM,1194.0,833.3333333333334,59.523809523809526,2.0
An Giang,26.93870967741936,182.5,10.3188672,105.0432488,2011-07-01,2011,7,2011-07,235.0,53.0,12.0,13.0,8.0,4.0,100,2992780,29927.8,27878,278.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ĐỒNG BẰNG SÔNG CỬU LONG,1194.0,182.2,TP.HCM,1194.0,820.0,58.57142857142857,2.0
An Giang,27.07741935483871,213.3,10.3188672,105.0432488,2011-08-01,2011,8,2011-08,235.0,53.0,12.0,13.0,8.0,4.0,100,2992780,29927.8,27878,278.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ĐỒNG BẰNG SÔNG CỬU LONG,1194.0,182.2,TP.HCM,1194.0,850.0,60.714285714285715,2.0
An Giang,26.436666666666667,361.8,10.3188672,105.0432488,2011-09-01,2011,9,2011-09,235.0,53.0,12.0,13.0,8.0,4.0,100,2992780,29927.8,27878,278.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ĐỒNG BẰNG SÔNG CỬU LONG,1194.0,182.2,TP.HCM,1194.0,825.0,58.92857142857143,2.0
An Giang,26.71935483870968,194.7,10.3188672,105.0432488,2011-10-01,2011,10,2011-10,235.0,53.0,12.0,13.0,8.0,4.0,100,2992780,29927.8,27878,278.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ĐỒNG BẰNG SÔNG CỬU LONG,1194.0,182.2,TP.HCM,1194.0,750.0,53.57142857142857,3.0
